,Sheep,Image,TSRatio
0,1,35,0.2832950239042293
1,1,10,0.26933934139286686
2,1,22,0.26769531936142077
3,1,38,0.2666990688932745
4,1,37,0.2860426776882532
5,1,21,0.3429331074871421
6,1,2,0.29127744167397884
7,1,24,0.26924761196102237
8,1,39,0.2691663626144414
9,1,40,0.2865789148690927
10,1,53,0.2490624423744404
11,1,64,0.2813341770064902
12,2,1,0.2509588619546516
13,2,3,0.2800170354728231
14,3,150,0.3037170252362366
15,3,81,0.3133746395225994
16,3,4,0.3075999574661244
17,3,36,0.2596838054772653
18,3,63,0.2891133449681089
19,3,64,0.2779997327207122
20,3,82,0.3175335782634485
21,3,102,0.31940008088611566
22,3,118,0.31445022760836977
23,3,129,0.268993913404153
24,3,151,0.2635248914307164
25,3,18,0.27073390991058965
26,3,116,0.2766383579075493
27,3,141,0.306403869927185
28,3,79,0.2664117591601418
29,3,2,0.2972168015187868
30,3,65,0.3148223898013727
31,3,34,0.3212830774130907
32,3,101,0.28091818060234314
33,3,35,0.2982598075268673
34,3,80,0.2604076330460617
35,3,51,0.2920822333969838
36,3,52,0.36106827265424324
37,3,117,0.3000577578038669
38,3,3,0.2921939613283737
39,3,19,0.30470071639771107
40,3,50,0.3281920739671071
41,3,78,0.3408143713365224
42,3,77,0.3006086989188678
43,3,100,0.3374102195249678
44,3,1,0.3097534573844371
45,3,115,0.2743572062990472
46,3,130,0.2797310068242421
47,3,53,0.3136093863665173
48,3,98,0.2917215803275684
49,3,142,0.3044602421763755
50,3,33,0.3175165042722906
51,3,99,0.3104918396294887
52,3,20,0.27404492589582113
53,3,140,0.2780015367296249
54,3,131,0.3076959245806444
55,4,112,0.3378691740474092
56,4,34,0.4126214484292101
57,4,45,0.29955723417325036
58,4,2,0.29433840945326184
59,4,87,0.359312728111759
60,4,13,0.34391057786362567
61,4,86,0.36737103328117926
62,4,85,0.317381704775967
63,4,73,0.3506389583906644
64,4,47,0.2889605468050216
65,4,113,0.333311279546905
66,4,60,0.36360162480998626
67,4,72,0.2638117403143874
68,4,1,0.32534614031021725
69,4,125,0.3198168251441168
70,4,12,0.3520330251922941
71,4,46,0.35922053791203
72,4,128,0.28895565323762284
73,4,126,0.2760836039153227
74,4,99,0.32609133090289283
75,4,111,0.3297550100899323
76,4,71,0.3340508509266698
77,4,127,0.31866578493902364
78,4,88,0.31781830394626365
79,4,74,0.28752017213555675
80,4,59,0.35103532516303976
81,6,32,0.3475598248660074
82,6,145,0.3925413130861992
83,6,46,0.35540483049999644
84,6,102,0.37076413521443274
85,6,91,0.3530365094369579
86,6,57,0.36359641026993295
87,6,1,0.33784751691836523
88,6,58,0.3368509924659436
89,6,143,0.3315010221832819
90,6,59,0.32978075722135797
91,6,19,0.37002501784513886
92,6,72,0.3553176183456146
93,6,74,0.3737915794342908
94,6,104,0.3578801285776982
95,6,61,0.32208945363660935
96,6,117,0.36682184426917674
97,6,157,0.33121881856850416
98,6,130,0.30544774884546533
99,6,156,0.37491811177945134
100,6,90,0.3934157798263206
101,6,116,0.3585561231372111
102,6,35,0.35585281938595953
103,6,88,0.36107625988115055
104,6,20,0.35659528533877805
105,6,48,0.36409591918880024
