,Sheep,Image,stdEntropy
301,15,96,0.09109594856466954
302,15,111,0.112808956635675
303,15,124,0.09543845277642815
304,15,58,0.10037939708622134
305,15,2,0.10084651650722494
306,15,57,0.09069916429394768
307,15,1,0.09576409410516568
308,15,17,0.10948741831465562
309,15,3,0.07988665731981609
310,15,125,0.10036840670193949
311,15,29,0.10027609972658302
312,15,82,0.1107958041167531
313,15,83,0.10087040912572676
314,15,42,0.09097257037827419
315,15,16,0.09800848484366456
316,15,123,0.09973537130920834
317,15,108,0.13007634960415612
318,16,9,0.10917441575552869
319,16,44,0.11588358596324004
320,16,71,0.10523301869804062
321,16,72,0.11478867566579523
322,16,46,0.1089499576819986
323,16,22,0.0981708259695347
324,16,111,0.10709287551587637
325,16,75,0.10749036714054765
326,16,112,0.12223628508621762
327,16,33,0.10851826417083034
328,16,76,0.12945908496850808
329,16,8,0.09841421372962772
330,16,74,0.08795364268121635
331,16,57,0.11142170337697602
332,16,86,0.11517654303800978
333,16,73,0.0934478779316244
334,16,21,0.10216693283032861
335,16,34,0.11559372158354728
336,16,103,0.09342064647165511
337,17,44,0.10859660318139398
338,17,46,0.14475429015844457
339,17,74,0.12375476715624913
340,17,65,0.12205160760513893
341,17,89,0.12277804989936619
342,17,136,0.12135390600571537
343,17,91,0.11188593850099594
344,17,111,0.10261411754219495
345,17,2,0.10773538264055076
346,17,1,0.14256114542835868
347,17,86,0.11267319324283556
348,17,3,0.0911605253082041
349,17,123,0.11202396545900689
350,17,100,0.13144633648148688
351,17,135,0.11497559156816774
352,17,122,0.115356633869501
353,17,88,0.09620193237012128
354,17,124,0.1474463986897395
355,17,45,0.11951144298128888
356,17,75,0.13386101918701335
357,17,109,0.11799080444738945
358,17,87,0.1292208890263061
359,17,43,0.12419096395570202
360,17,90,0.13769127033737832
361,17,30,0.09939558969338182
362,17,121,0.11619919447331169
363,17,27,0.11328562739669558
364,18,69,0.12112502265611631
365,18,12,0.120253841067549
366,18,68,0.10678621596791787
367,18,96,0.12146192236181509
368,18,97,0.11351234563236584
369,18,1,0.11212885296930637
370,18,95,0.11907881150923386
371,18,45,0.13624632754573063
372,18,46,0.11836059626878691
373,18,58,0.11386606602402843
374,18,24,0.09144180631975003
375,19,110,0.09273179674310437
376,19,111,0.0858255911213765
377,19,100,0.09015967661337303
378,19,3,0.0821418876302307
379,19,1,0.07583833473007028
380,19,6,0.08479643685819971
381,19,58,0.09774689339114559
382,19,30,0.08004708230633754
383,19,33,0.09451213834224496
384,19,97,0.09636339883406393
385,19,31,0.08008228994326741
386,19,5,0.07658207374667773
387,19,19,0.08240728072835968
388,19,86,0.09022946712942106
389,19,122,0.11831179687713186
390,19,18,0.0791331510377359
391,19,47,0.06809639751944231
392,19,4,0.08426917589217055
393,19,44,0.0722596075074523
394,19,48,0.08541899512185568
395,19,59,0.1004486204906948
396,19,60,0.09784287031750409
397,19,70,0.09305931921136765
398,19,2,0.06193797614561031
399,19,20,0.0821067335400438
400,19,71,0.07854913356270554
401,19,84,0.09286918952491546
402,19,112,0.08043965533982633
403,19,124,0.08648726916176683
404,19,98,0.08995586131397428
405,19,125,0.09220765551363602
406,19,109,0.09495917995328343
407,19,85,0.09331273691920984
408,19,61,0.09703249769640394
409,19,72,0.06874556828896568
410,19,99,0.08622917068057352
411,19,46,0.07344415812934545
412,19,34,0.07963361041284768
413,19,87,0.09593578661086109
414,19,17,0.08471796550625031
415,19,123,0.0860191948711887
416,19,45,0.07508502143536872
417,19,134,0.09707677857528729
418,19,135,0.09315005948806378
419,19,73,0.08495761080147173
420,20,114,0.09445006990273132
421,20,102,0.08296798890206887
422,20,40,0.0872356877540577
423,20,65,0.0748174902615023
424,20,103,0.09276517005298868
425,20,1,0.08365794139701385
426,20,90,0.07674429923494636
427,20,76,0.07746265366135065
428,20,13,0.10455616171471672
429,20,39,0.10445203443057421
430,20,89,0.09258596790297635
431,20,15,0.07122702692977503
432,20,77,0.09443879904860948
433,20,64,0.09459931655772794
434,21,28,0.07829864964792335
435,21,55,0.07300729368671902
436,21,91,0.0731369278445124
437,21,56,0.08923191990041822
438,21,29,0.06705603883947497
439,21,41,0.06761308196003547
440,21,68,0.08537021819623564
441,21,113,0.06975008720051752
442,21,1,0.06144702532803524
443,21,42,0.08580157504546256
444,21,2,0.05708502971155385
445,21,3,0.05858411028373944
446,21,83,0.08319319670785874
447,21,114,0.08604453146920597
448,21,92,0.07180828292376507
449,21,93,0.08140763153503215
450,21,106,0.08054839269497292
451,21,27,0.07943826382343301
452,21,40,0.07657062669809524
453,21,54,0.07003363542072603
454,21,15,0.08902458974121326
455,21,16,0.09997443683839986
456,21,112,0.0703982107791809
457,21,17,0.09235914413798886
458,22,19,0.09316568380323716
459,22,93,0.08440631334167961
460,22,84,0.08574599276045243
461,22,73,0.07979088737354956
462,22,1,0.0823942581221823
463,22,2,0.07682818501887473
464,22,53,0.08336180018909145
465,22,103,0.08374133192070594
466,22,17,0.09613069571526713
467,22,54,0.07961428941879319
468,22,31,0.09269738894750167
469,22,32,0.06196144515117034
470,22,72,0.09980355023902256
471,22,3,0.07092445198747357
472,22,55,0.08248724164222188
473,22,92,0.08819230481240696
474,22,56,0.08632687702393767
475,22,41,0.11252576371468981
476,22,71,0.07963039731114639
477,22,52,0.06885010109093054
478,23,56,0.09731621004951434
479,23,60,0.08658443971517034
480,23,64,0.08813631862910948
481,23,22,0.11896221619686854
482,23,69,0.12841885084938506
483,23,26,0.11999678127212782
484,23,1,0.08603154222235546
485,23,43,0.08830356476009746
486,23,13,0.09820898408569947
487,23,28,0.11513919375465055
488,23,67,0.1034342993012883
489,23,58,0.1422865211039744
490,23,59,0.11692666256618287
491,23,73,0.13018293502638206
492,23,12,0.09799274962729887
493,23,41,0.07915944307929358
494,23,57,0.10690712069388346
495,23,66,0.11589909473333902
496,23,42,0.0764698511298733
497,23,44,0.10521356644184245
498,23,70,0.09048021862906569
499,23,72,0.11351557513466344
500,23,63,0.09239184434099074
501,23,62,0.09667339974319236
502,23,61,0.0738537181975349
503,23,40,0.10659564961764095
504,23,11,0.09991877547557608
505,23,71,0.12053397925416666
506,23,65,0.08282020809409615
507,23,27,0.108822705198565
508,23,68,0.11401902208745153
509,23,23,0.13560147400814326
510,23,55,0.09876043431537158
511,23,25,0.11298285253199276
512,23,24,0.1164598753370804
513,24,5,0.05616561993289164
514,24,6,0.07491371327562737
515,24,3,0.0866704798377664
516,24,1,0.0731048925759901
517,24,10,0.07871113790451285
518,24,4,0.06681197749693107
519,24,2,0.07050232184098595
520,24,9,0.08094220487208217
521,25,12,0.08366929191465751
522,25,2,0.09289343859786701
523,25,7,0.08997692863851092
524,25,8,0.08942225155877562
525,25,3,0.07815125534537917
526,25,5,0.07777090095052944
527,25,6,0.0763121363017998
528,26,42,0.09001683529912473
529,26,23,0.10650253692923037
530,26,2,0.09048246399334313
531,26,1,0.09692855443470612
532,26,39,0.083434294517974
533,26,16,0.07890035402218525
534,26,5,0.09613778406409636
535,26,19,0.1119883440793224
536,26,8,0.09256007186417073
537,26,25,0.10010117193764367
538,26,47,0.07811078126662087
539,26,9,0.108857705149169
540,26,44,0.1267073179300185
541,26,38,0.08478011244223595
542,26,43,0.08989739757485549
543,26,50,0.09834138767491761
544,26,27,0.08605513847848811
545,26,33,0.1142942859114668
546,26,40,0.08008980155214807
547,26,15,0.07599087526561799
548,26,41,0.09019660030133031
549,26,22,0.10886331240130893
550,26,45,0.09962638922218024
551,26,3,0.10706357265913445
552,26,7,0.10956483428547308
553,26,34,0.10501885000611141
554,26,37,0.11715908256884938
555,26,28,0.0963132014563484
556,26,12,0.07911593094739341
557,26,35,0.07082333511997055
558,26,18,0.09352569668050083
559,26,11,0.12320172121108787
560,26,4,0.08431934913280227
561,26,32,0.11615640278082454
562,26,21,0.13144000501610129
563,26,20,0.09153345784473346
564,26,6,0.10777639932911291
565,26,29,0.10321415588720284
566,26,36,0.11153475210224714
567,26,48,0.09055902410717968
568,26,49,0.10672229924319568
569,26,52,0.10019540278711321
570,26,13,0.08495046786854751
571,27,98,0.11039186995163316
572,27,58,0.09719220034146751
573,27,124,0.11911911567163572
574,27,37,0.09786200350393764
575,27,110,0.10713025788393228
576,27,1,0.11994726084086794
577,27,100,0.10368816510646008
578,27,78,0.1268855337406087
579,27,3,0.10782895194621818
580,27,38,0.08321135804364163
581,27,122,0.09877011055625476
582,27,87,0.09696423660795758
583,27,2,0.08392499056487897
584,27,57,0.08725793296322323
585,27,88,0.10664816858367457
586,27,36,0.11789887808577275
587,27,18,0.10646524852513625
588,27,86,0.08854818617710708
589,27,49,0.08986770058737929
590,27,101,0.0913908085023611
591,27,16,0.11723883582054381
592,27,121,0.09432394413270093
593,27,85,0.1045291753848332
594,27,109,0.09464395387992325
595,27,20,0.08850523907273397
596,27,120,0.0740900222566123
597,27,99,0.09376859938048777
598,27,17,0.0920841737288575
599,27,39,0.0861850351392216
600,27,19,0.08841023687644539
601,27,4,0.08512793483892278
602,27,123,0.09667828588741036
603,27,79,0.10551688327146184
604,28,87,0.11706645056335069
605,28,34,0.11073805490335205
606,28,48,0.07472726515295532
607,28,22,0.12319035233982067
608,28,68,0.12065358934425474
609,28,49,0.11795105383490055
610,28,51,0.09963619832330847
611,28,72,0.0973826204997213
612,28,69,0.11196119534765293
613,28,23,0.1352743224699037
614,28,11,0.11609001649441082
615,28,71,0.12308729420293402
616,28,50,0.11288649086642963
617,28,37,0.09843299295459826
618,28,84,0.09663376319607439
619,28,70,0.11074455947474308
620,28,85,0.11208187360409949
621,28,35,0.1212093253639044
622,28,1,0.07567947646873546
623,28,10,0.11226530044847735
624,28,2,0.10902503453516901
625,28,36,0.11493293479064425
626,28,86,0.12007348870886883
627,29,141,0.10881732500543041
628,29,204,0.10705394279380731
629,29,186,0.09978465822669456
630,29,119,0.09428884468291869
631,29,206,0.11045578556407563
632,29,188,0.08474231246788204
633,29,205,0.0906878190054335
634,29,163,0.0890303316572263
635,29,142,0.10938045221292113
636,29,189,0.11704722448652947
637,30,18,0.08131582587580367
638,30,66,0.0821269439211971
639,30,62,0.0796563078810863
640,30,19,0.07948815810724531
641,30,1,0.08160510461880126
642,30,2,0.08852834446270676
643,30,128,0.08142490438264326
644,30,4,0.09380381227548464
645,30,33,0.09662581640531939
646,30,64,0.0822182397129706
647,30,49,0.10097757238034187
648,30,35,0.10557214480021664
649,30,89,0.08492074219420359
650,30,65,0.10217952586555187
651,30,112,0.08562190522337532
652,30,111,0.0959768895795217
653,30,48,0.09151408956723343
654,30,113,0.09600592932251444
655,30,141,0.09862095657454052
656,30,21,0.08112878634076494
657,30,114,0.10394313122735478
658,30,77,0.0906851827825921
659,30,99,0.07850602434253474
660,30,47,0.07547558842307776
661,30,34,0.08696862260770245
662,30,126,0.07841920039377555
663,30,154,0.09995947670872876
664,30,3,0.09901350184801877
665,30,76,0.09634454185571656
666,30,152,0.09599969041373554
667,30,140,0.08627051098432569
668,30,63,0.08408085566942892
669,30,79,0.10214787673061468
670,30,139,0.09651842264049808
671,30,153,0.08955237560305948
672,30,155,0.09684236285786184
673,30,78,0.09149836302339563
674,30,127,0.08513165864053104
675,30,20,0.08335164386806922
676,30,46,0.10674171202824356
677,30,90,0.07199735880374973
678,30,100,0.08956286840698138
679,31,98,0.10812537033303436
680,31,121,0.11399449895687605
681,31,137,0.11123361245186428
682,31,123,0.1038324397231034
683,31,67,0.08863045915725411
684,31,32,0.09970861953620064
685,31,33,0.09937299777574174
686,31,66,0.11475611269432755
687,31,80,0.12520832811959362
688,31,20,0.12946839887828412
689,31,79,0.08728166267050012
690,31,122,0.09185982325955258
691,31,90,0.10164307603766079
692,31,51,0.10527503883000307
693,31,65,0.11248789325366988
694,31,19,0.12259178303699356
695,32,29,0.09987791131604724
696,32,17,0.11607082974652673
697,32,30,0.08558241313600626
698,32,49,0.07391559122296876
699,32,2,0.10349941194309296
700,32,18,0.11627363367080469
701,32,13,0.11265783511040466
702,32,19,0.0918072901969852
703,32,1,0.09523283207594581
704,33,40,0.08057972822408206
705,33,8,0.08301234635855252
706,33,53,0.05958572823511999
707,33,72,0.07735929140207616
708,33,9,0.06947240548172308
709,33,59,0.07976571255676271
710,33,58,0.0706350863374103
711,33,74,0.07279551581983588
712,33,11,0.07272508825280759
713,33,1,0.10854674266484568
714,33,10,0.08253156612159795
715,33,41,0.06579930066676712
716,33,60,0.054630122015431756
717,33,26,0.07434767247043901
718,33,73,0.08281754471406542
719,33,25,0.061477840938161
720,33,27,0.07311120398527156
721,34,88,0.07554304388502522
722,34,25,0.08514291064495319
723,34,89,0.08266134529433976
724,34,39,0.08713616458667879
725,34,10,0.06944377131193374
726,34,1,0.10107580468538356
727,34,37,0.08503209302301828
728,34,68,0.11318502540541553
729,34,12,0.06024593274921898
730,34,91,0.08105893432499142
731,34,90,0.06107198349894219
732,34,52,0.05146741779452973
733,34,51,0.08815148989978273
734,34,26,0.06154947998195303
735,34,53,0.10167163527113811
736,34,2,0.08249312308840767
737,35,123,0.08373658613519125
738,35,122,0.07780606159823356
739,35,56,0.06061078573793095
740,35,59,0.08093738823089701
741,35,108,0.06620458195381826
742,35,44,0.06415965558535293
743,35,17,0.0970040297081037
744,35,73,0.08940668465757447
745,35,121,0.06707588144293118
746,35,2,0.06893311246066675
747,35,58,0.10321091397060499
748,35,1,0.06400488368542283
749,35,72,0.08087572029414501
750,35,57,0.08263130745216002
