,Sheep,Image,MinDist,IFDist
0,1,35,88.67226722169697,168.47355979642356
1,1,10,61.471343684188206,180.7565939668309
2,1,22,113.358437778627,186.1988687507397
3,1,38,127.64564918957976,198.9156362201109
4,1,37,77.50054272397747,194.7284318820212
5,1,21,131.8267573255632,180.1978753913901
6,1,2,123.67175202893262,224.9841606790966
7,1,24,76.72462889051295,176.4167773778074
8,1,39,30.522931110633568,151.37416275176255
9,1,40,136.95327857006112,251.6756342460136
10,1,53,105.45401500224321,151.49769575057445
11,1,64,43.76716214129443,135.75300662604974
12,2,1,95.41689300146528,159.09674469213985
13,2,3,98.95966352150292,155.71399601749832
14,3,150,106.67627710514896,153.04313858188584
15,3,81,126.05644057642712,188.64315567748446
16,3,4,127.02909102146745,180.98594422889997
17,3,36,103.79760413214217,155.08249280851015
18,3,63,95.17982941432936,185.50140737815462
19,3,64,132.21320028547595,171.14276807998323
20,3,82,31.22407515853693,141.1993757725397
21,3,102,97.87167189833556,187.4626007468917
22,3,118,60.46808422563459,142.20776921592554
23,3,129,87.39476426640142,144.90933268406104
24,3,151,4.474807847865856,137.66154024233663
25,3,18,53.0338737517929,165.21633507895743
26,3,116,93.38801613427452,158.88447799643578
27,3,141,113.99322130166361,145.78339814733437
28,3,79,98.40405033943838,149.60864185106837
29,3,2,117.46438161313948,179.17705682544096
30,3,65,109.71238130464197,156.533908293529
31,3,34,61.895776597050244,173.34029763827192
32,3,101,78.09780869611502,146.85837916707214
33,3,35,118.09920828443215,165.554208985778
34,3,80,39.47216011003811,160.1688905110624
35,3,51,110.3237897399799,163.50715343258437
36,3,52,40.60612875350516,149.55521764998866
37,3,117,98.68385659044883,152.20541740753717
38,3,3,86.8660462420175,140.75841642701874
39,3,19,1.9221644091491472,143.39572854381888
40,3,50,33.07317340516064,154.79106857693304
41,3,78,113.48399154781299,156.4841997541093
42,3,77,114.52017146206938,186.99554100681556
43,3,100,58.385122904512414,151.91436660140232
44,3,1,133.9920851848107,167.92034014522434
45,3,115,91.30306924597718,160.54356087284233
46,3,130,101.0158069825212,160.77795683514088
47,3,53,26.193391112248847,148.59689476111583
48,3,98,45.98776363545736,133.360793559558
49,3,142,105.11632008867659,166.2751204186151
50,3,33,90.78043689684964,167.76069870348383
51,3,99,104.41839628294952,142.65278482356965
52,3,20,121.98159003298258,163.14788067019
53,3,140,121.63137198567513,160.3999555043023
54,3,131,125.05565769972411,153.21118895974402
55,4,112,60.51343948723388,171.74028843643842
56,4,34,13.270977996849304,176.2418449649514
57,4,45,26.832987883597152,157.4069029755187
58,4,2,119.03844945421811,163.2709547002324
59,4,87,10.210317495446482,148.65452382311952
60,4,13,17.694517814104664,150.1674687900007
61,4,86,13.163955193629965,169.98440323415915
62,4,85,146.7874384129277,198.25415579381573
63,4,73,167.34920750912283,208.64623680924876
64,4,47,25.734027445280084,139.9489435143018
65,4,113,96.28354038337808,182.96439690374012
66,4,60,117.7966164351504,171.51434439717158
67,4,72,112.58665927197163,172.18548989893884
68,4,1,49.29255458917962,153.28555398697625
69,4,125,48.23832191607916,146.0568688334515
70,4,12,18.253289935583084,160.73364335491505
71,4,46,105.62859377000858,177.62877023055844
72,4,128,125.61105804424233,175.12777333902002
73,4,126,46.55278092768262,143.3215166115938
74,4,99,50.87341843504393,164.92465926944902
75,4,111,23.79744396828536,146.1579996422973
76,4,71,77.27350945486188,144.19357085048426
77,4,127,27.809105580211657,151.85414724469612
78,4,88,48.46667249180928,166.3697649983938
79,4,74,82.74116903949509,171.94037347738032
80,4,59,79.7694552334227,185.982712205248
81,6,32,120.4113774477986,177.16157050701747
82,6,145,89.23886950084382,159.03016115512162
83,6,46,162.23209796974226,204.57988037903897
84,6,102,89.78571944615672,184.17385212249576
85,6,91,67.18684615464696,168.06399469264176
86,6,57,121.36089801409807,201.36718497841565
87,6,1,39.086102028164866,162.77965588789237
88,6,58,122.46447397385126,197.20408218899942
89,6,143,135.51505811088578,189.35813746311027
90,6,59,105.53661832370017,172.19735447847592
91,6,19,144.77320658172906,187.60284293121757
92,6,72,45.20159564008229,162.99045234386043
93,6,74,134.57854763715488,210.52534156053136
94,6,104,42.2008566221446,169.87484853738997
95,6,61,18.686158747973387,185.98483645661176
96,6,117,159.05968071009596,238.05747493023748
97,6,157,112.80843340979698,175.16753982880147
98,6,130,139.82563450030844,174.904480216533
99,6,156,110.93337364933907,160.24816723043992
100,6,90,99.83224560041954,156.930497950471
101,6,116,106.63311877327051,166.90205954196134
102,6,35,118.75116818892067,186.6397162355873
103,6,88,141.83377741684401,192.5696180976323
104,6,20,12.22058185121263,192.83135701100952
105,6,48,46.13935845508801,200.8924900225213
106,6,6,113.30197951350569,179.71717143378092
107,6,2,168.9357509220468,217.08572828321456
108,6,132,44.27455772799389,180.43048477661918
109,6,3,160.75429746107315,197.44922286934286
110,6,60,132.9834183158959,169.0056051329524
111,6,4,106.36562177533472,203.7814279600769
112,6,18,113.3027996039377,211.67955840925495
113,6,77,23.333800504463788,173.71094686557618
114,6,5,114.94282112861505,166.58762785712887
115,6,34,168.1878970033786,196.52072635075032
116,6,131,127.7066573501097,179.67936209602934
117,6,49,120.30780337864277,191.13550242685346
118,6,17,160.30697048391923,206.08770279923573
119,6,115,134.3066281195669,186.76945558998895
120,6,22,147.872727309372,209.2866069458346
121,6,144,103.70163949656796,176.60056630320673
122,6,21,64.4334401527686,191.79140195922074
123,6,56,97.75335835683579,165.22185164052473
124,6,89,174.5408309385519,238.73406385467248
125,6,76,125.1749912921826,183.24771402063254
126,6,101,95.39921382724489,166.4063213817552
127,6,103,111.42227851387972,193.1876714493941
128,6,33,120.83356816857832,212.46487872914798
129,6,73,106.23692380528006,213.3649705711579
130,6,118,144.0663191612724,202.65226279921265
131,7,97,65.11500859914044,177.29805534582349
132,7,74,117.76459966024986,178.58586188917178
133,7,50,33.032827860411196,159.81454440767078
134,7,2,124.7996284560167,204.23463885368713
135,7,39,168.15164917332447,215.3293697551837
136,7,49,67.20264773757292,178.35578216380316
137,7,65,3.605551275463989,148.0519595906729
138,7,15,46.30911174686093,163.99960449281605
