,Sheep,Image,Blur
0,1,35,0.020352701005025127
1,1,10,0.014917713567839197
2,1,22,0.010306061557788945
3,1,38,0.010230213567839196
4,1,37,0.021445979899497487
5,1,21,0.02139604271356784
6,1,2,0.031748115577889445
7,1,24,0.02302858040201005
8,1,39,0.009780621859296483
9,1,40,0.014442054020100502
10,1,53,0.009285804020100503
11,1,64,0.013949748743718593
12,2,1,0.008680119346733668
13,2,3,0.0088071608040201
14,3,150,0.02303706030150754
15,3,81,0.01031768216080402
16,3,4,0.011849717336683416
17,3,36,0.01866378768844221
18,3,63,0.012255810301507538
19,3,64,0.01380244974874372
20,3,82,0.009626256281407035
21,3,102,0.013412217336683418
22,3,118,0.010490577889447236
23,3,129,0.010387091708542713
24,3,151,0.01714321608040201
25,3,18,0.015072550251256282
26,3,116,0.016946765075376884
27,3,141,0.01653941582914573
28,3,79,0.010136149497487437
29,3,2,0.01701036432160804
30,3,65,0.03257945979899497
31,3,34,0.0184054648241206
32,3,101,0.01204396984924623
33,3,35,0.010888976130653266
34,3,80,0.0074032663316582915
35,3,51,0.015091708542713567
36,3,52,0.017842650753768844
37,3,117,0.013358197236180905
38,3,3,0.014225345477386934
39,3,19,0.014828517587939698
40,3,50,0.018021984924623115
41,3,78,0.011601915829145729
42,3,77,0.013737908291457287
43,3,100,0.01649811557788945
44,3,1,0.012627983668341709
45,3,115,0.011977543969849246
46,3,130,0.012659076633165829
47,3,53,0.013862908291457287
48,3,98,0.02322424623115578
49,3,142,0.018277952261306532
50,3,33,0.011986180904522614
51,3,99,0.014060615577889447
52,3,20,0.0136143216080402
53,3,140,0.013912688442211055
54,3,131,0.010283605527638191
55,4,112,0.023834484924623117
56,4,34,0.04146875
57,4,45,0.018021199748743718
58,4,2,0.02457255025125628
59,4,87,0.0170464824120603
60,4,13,0.02212971105527638
61,4,86,0.018192839195979898
62,4,85,0.024105527638190953
63,4,73,0.023467179648241205
64,4,47,0.03353878768844221
65,4,113,0.024267744974874373
66,4,60,0.027035175879396984
67,4,72,0.01569472361809045
68,4,1,0.012345320351758794
69,4,125,0.019483825376884423
70,4,12,0.02924968592964824
71,4,46,0.01841959798994975
72,4,128,0.02089117462311558
73,4,126,0.011261306532663317
74,4,99,0.02065891959798995
75,4,111,0.01837798366834171
76,4,71,0.021400439698492462
77,4,127,0.016393687185929647
78,4,88,0.021251884422110554
79,4,74,0.015699120603015076
80,4,59,0.027103015075376883
81,6,32,0.01628941582914573
82,6,145,0.014206658291457286
83,6,46,0.015028894472361809
84,6,102,0.012578517587939698
85,6,91,0.020223461055276382
86,6,57,0.015639447236180905
87,6,1,0.017623115577889446
88,6,58,0.013775596733668342
89,6,143,0.0212393216080402
90,6,59,0.016456501256281408
91,6,19,0.017883165829145727
92,6,72,0.015607726130653267
93,6,74,0.01376036432160804
94,6,104,0.016217807788944723
95,6,61,0.021125942211055276
96,6,117,0.012631438442211056
97,6,157,0.04354978015075377
98,6,130,0.011267902010050252
99,6,156,0.025013662060301506
100,6,90,0.0112865891959799
101,6,116,0.014754239949748744
102,6,35,0.01540122487437186
103,6,88,0.01664054648241206
104,6,20,0.018394158291457286
105,6,48,0.012497173366834171
106,6,6,0.010520728643216081
107,6,2,0.018740420854271356
108,6,132,0.013650282663316584
109,6,3,0.01945555904522613
110,6,60,0.015292556532663317
111,6,4,0.019863693467336685
112,6,18,0.014273869346733668
113,6,77,0.01854978015075377
114,6,5,0.013939698492462311
115,6,34,0.01384375
116,6,131,0.013333542713567839
117,6,49,0.018637405778894472
118,6,17,0.016691425879396985
119,6,115,0.012749528894472362
120,6,22,0.014057945979899497
121,6,144,0.016777010050251256
122,6,21,0.017067211055276383
123,6,56,0.014671325376884422
124,6,89,0.012501727386934674
125,6,76,0.01563300879396985
126,6,101,0.015501727386934673
127,6,103,0.02041928391959799
128,6,33,0.013562814070351759
129,6,73,0.01315075376884422
130,6,118,0.014863222361809045
131,7,97,0.006552763819095478
132,7,74,0.006023084170854271
133,7,50,0.006888662060301508
134,7,2,0.006771199748743718
135,7,39,0.007344849246231156
136,7,49,0.008005810301507538
137,7,65,0.006464353015075377
138,7,15,0.007982569095477387
139,7,51,0.007827418341708543
140,7,99,0.006345320351758794
141,7,31,0.008015389447236182
142,7,14,0.007918341708542713
