,Sheep,Image,Scale,Directionality
107,6,102,8.0,0.18556721784589064
108,6,17,8.0,0.12343689973766087
109,6,33,8.0,0.21793331175139263
110,6,73,8.0,0.21455349464502665
111,6,131,8.0,0.2875498962603844
112,6,19,8.0,0.1652100911456055
113,6,117,8.0,0.18627677029718215
114,6,46,8.0,0.11318626401150748
115,6,59,8.0,0.11914346871135931
116,6,74,8.0,0.12840009021044593
117,6,104,8.0,0.09963250335476727
118,6,88,8.0,0.12565028494185393
119,6,90,8.0,0.15008237024310989
120,6,116,8.0,0.2411095015045593
121,6,91,8.0,0.12888513330361684
122,6,6,9.0,0.25827421943814427
123,6,4,8.0,0.07603433784471526
124,6,5,8.0,0.08319074159950764
125,6,34,8.0,0.09126469466197328
126,6,21,8.0,0.03139879016341517
127,6,56,8.0,0.1986154064879319
128,6,35,8.0,0.1368574506053177
129,6,48,8.0,0.18323092704377877
130,6,103,8.0,0.11415499883711037
131,7,49,9.0,0.3106095916223054
132,7,97,9.0,0.2840313656718559
133,7,96,9.0,0.3114031456410691
134,7,1,9.0,0.25021470735941576
135,7,75,9.0,0.24182570356723382
136,7,52,9.0,0.3173442381701047
137,7,74,9.0,0.2530528374972642
138,7,65,9.0,0.31085108901533043
139,7,31,9.0,0.31883945767683564
140,7,50,9.0,0.29410005722866817
141,7,15,9.0,0.3138272852584038
142,7,2,9.0,0.3032382235668923
143,7,39,9.0,0.2733498630756614
144,7,87,9.0,0.2459557816747111
145,7,51,9.0,0.35733444100587347
146,7,99,9.0,0.3426511628049936
147,7,14,9.0,0.36638390717718555
148,7,64,9.0,0.35282801770000605
149,7,98,9.0,0.38623062998252106
150,8,46,10.0,0.5174311855025735
151,8,47,10.0,0.4849180752963143
152,8,27,10.0,0.5669040631668598
153,8,28,11.0,0.6524550747962543
154,8,1,10.0,0.5406608730797147
155,8,18,8.0,0.2505718576215909
156,8,19,10.0,0.536183394841117
157,8,1,8.0,0.21572404115480068
158,8,11,11.0,0.6378107966508625
159,8,39,7.0,0.16779761105806168
160,8,29,10.0,0.6222567685210721
161,8,40,8.0,0.2229553759159442
162,9,2,14.0,0.5756221666034741
163,9,6,10.0,0.3860747133720925
164,9,20,10.0,0.383453950677418
165,9,12,11.0,0.5757071502251828
166,9,1,10.0,0.38676678453569263
167,10,59,9.0,0.2318098479286852
168,10,49,10.0,0.4061348487836371
169,10,35,9.0,0.2695054988302265
170,10,58,10.0,0.27864534702390104
171,11,32,8.0,0.12476717699283793
172,11,106,9.0,0.20734062697138372
173,11,18,8.0,0.08898418297960756
174,11,47,8.0,0.10789647297725301
175,11,92,9.0,0.15967923330640457
176,11,143,8.0,0.10988543426984976
177,11,63,8.0,0.13104923802146345
178,11,2,8.0,0.10486302018822338
179,11,62,8.0,0.1665070746039187
180,11,93,8.0,0.06342767183149504
181,11,78,8.0,0.12915576502249726
182,11,161,9.0,0.08460184460102965
183,11,159,9.0,0.1708587135984801
184,11,1,9.0,0.16889774373163172
185,11,35,8.0,0.05534615125643249
186,11,64,8.0,0.17032044877794386
187,11,144,8.0,0.13914365694572514
188,11,49,8.0,0.2640590091137777
189,11,94,9.0,0.2619713254013237
190,11,33,8.0,0.11711417054053469
191,11,79,9.0,0.24665530618796133
192,11,34,8.0,0.08416727929815583
193,11,162,9.0,0.17855102844138374
194,11,48,8.0,0.20151831106286483
195,11,120,9.0,0.1388978134208473
196,11,4,8.0,0.09890031322293777
197,11,145,8.0,0.09405974283610571
198,11,20,8.0,0.1943490182441565
199,11,131,8.0,0.06831421070214076
200,11,108,8.0,0.10386046506937838
201,11,3,8.0,0.11522294120764794
202,11,160,9.0,0.14926539496643648
203,11,121,8.0,0.11841242113535766
204,11,21,8.0,0.11823854320364953
205,11,77,8.0,0.1253502807259843
206,11,107,9.0,0.15433110388361954
207,11,19,8.0,0.10075564255117805
208,12,180,9.0,0.2673938543204181
209,12,69,8.0,0.3274069002596244
210,12,150,9.0,0.3202561409619992
211,12,178,8.0,0.21359420592437456
212,12,71,7.0,0.2749388348887051
213,12,95,8.0,0.18804520192973187
214,12,151,9.0,0.262848711977845
215,12,192,9.0,0.19543650194607726
216,12,193,7.0,0.20276758931595498
217,12,80,8.0,0.33877956014175437
218,12,167,6.0,0.17906326025384858
219,12,117,8.0,0.2900035431760038
220,12,68,8.0,0.282934672973612
221,12,81,12.0,0.598543178406726
222,12,103,7.0,0.10744039334798618
223,12,118,8.0,0.2803914429360341
224,12,201,7.0,0.22925743452206476
225,12,83,8.0,0.3250177296029998
226,12,67,12.0,0.5356431623055096
227,12,70,8.0,0.23754496470036904
228,12,152,8.0,0.3126592584605508
229,12,165,8.0,0.345419260888271
230,12,202,8.0,0.15937260702324577
231,12,104,8.0,0.18926267607738526
232,12,82,8.0,0.2915569077029294
233,12,181,8.0,0.2327359286266143
234,12,191,9.0,0.2007756542024237
235,12,116,8.0,0.25116409335617795
236,12,164,8.0,0.22045210163695195
237,12,179,9.0,0.2205488689120744
238,12,141,8.0,0.25462237733534726
239,12,166,8.0,0.2666867129863434
240,13,217,9.0,0.2879565443054619
241,13,232,9.0,0.331919961947271
242,13,250,9.0,0.4488555967138083
243,13,224,9.0,0.2833625597689229
244,13,233,9.0,0.46727462459573477
245,13,256,9.0,0.42258788419268345
246,13,257,9.0,0.39630976936921486
247,13,249,9.0,0.27510909669801553
248,13,240,9.0,0.48372112018725044
249,14,2,9.0,0.22129610948000547
250,14,44,8.0,0.3786590637462202
251,14,96,8.0,0.06314090177054514
252,14,19,8.0,0.22428158057138323
253,14,155,9.0,0.18379122686251378
254,14,142,9.0,0.09367744821246948
255,14,17,9.0,0.3104808381911166
256,14,140,9.0,0.09699956581872313
257,14,99,8.0,0.04425181672330013
258,14,114,8.0,0.08448832320788827
259,14,80,8.0,0.12685873435252978
260,14,81,8.0,0.23199415189745987
261,14,112,9.0,0.42427144432943154
262,14,111,8.0,0.19535237127040314
263,14,68,8.0,0.25041045678213103
264,14,128,9.0,0.20325880025021345
265,14,66,8.0,0.3246166566398033
266,14,127,9.0,0.15840853459937415
267,14,3,9.0,0.4592557232559318
268,14,54,9.0,0.16906131297654062
269,14,82,7.0,0.20008521880459493
270,14,94,8.0,0.19217362251348413
271,14,53,9.0,0.24498786588807558
272,14,95,9.0,0.08399839744743867
273,14,30,9.0,0.38431864174658265
274,14,143,8.0,0.13707901102170872
275,14,98,9.0,0.13914054238892884
276,14,129,9.0,0.24827059238543103
277,14,144,8.0,0.07805176844952254
278,14,50,8.0,0.3709588347346791
279,14,100,9.0,0.07140594923565197
280,14,125,9.0,0.19914138408918053
281,14,32,9.0,0.1601315393426443
282,14,51,9.0,0.17750154577085198
283,14,18,9.0,0.42583479101625726
284,14,67,8.0,0.28862022170814705
285,14,126,8.0,0.07917741980722046
286,14,5,8.0,0.18356170438794905
287,14,1,9.0,0.38921575798566715
288,14,52,9.0,0.24145316318729546
289,14,65,8.0,0.2607090310583928
290,14,157,9.0,0.18355463079042275
291,14,4,8.0,0.22642605935371962
292,14,97,8.0,0.09003680711398873
293,14,113,8.0,0.22233352055098057
294,14,141,9.0,0.10545879000495224
295,14,31,8.0,0.1549565419684907
296,15,138,8.0,0.18138757974652045
297,15,83,8.0,0.0827739023085541
298,15,70,8.0,0.20909305573311843
299,15,95,8.0,0.23085751970531834
300,15,57,8.0,0.1302747320031148
301,15,58,8.0,0.2001096787640532
302,15,1,8.0,0.06949819573732186
303,15,3,8.0,0.0883326286243601
304,15,17,8.0,0.20465605638940443
305,15,123,8.0,0.2417271208175499
306,15,108,8.0,0.2550376431410765
307,15,30,8.0,0.06915771563606471
308,15,2,8.0,0.10747099523288976
309,15,109,8.0,0.16859435425048402
310,15,29,8.0,0.24180351946785486
311,15,42,8.0,0.05013091512976118
312,15,125,8.0,0.19912637574161007
313,15,96,8.0,0.16329184443293418
314,15,111,8.0,0.24141044043570117
315,15,124,8.0,0.16917843722387002
316,15,82,8.0,0.08292975576251622
317,15,16,8.0,0.1381184603765
318,16,9,8.0,0.3091337629983441
319,16,46,9.0,0.2964595344672877
320,16,33,9.0,0.3944045155869862
321,16,76,9.0,0.1959590122137506
322,16,74,9.0,0.20127091074330153
323,16,86,8.0,0.11536348976874602
324,16,22,8.0,0.23235953036296222
325,16,111,9.0,0.3270400526227713
326,16,112,9.0,0.34582368333893393
327,16,44,8.0,0.176927331026289
328,16,8,8.0,0.26632126680662555
329,16,73,9.0,0.13678199865441446
330,16,103,8.0,0.3487361047690393
331,16,21,8.0,0.11542936726643771
332,16,34,9.0,0.3917167604116719
333,16,75,9.0,0.15330248100109622
334,16,57,9.0,0.38939199337287494
