,CurrTag,DeathDate,Sheep,Category,ID,Sex,AgeAtDeath,Weight,Foreleg,Hindleg,Directionality,DirectionalityVar,Entropy,EntropyVar,FociCount,FociCountVar,FociSize,FociSizeVar,Lacunarity,LacunarityVar,Scale,ScaleVar,TissueToSinusoid,TissueToSinusoidVar
52,BO132,1/3/2012,129.0,Soay,6719.0,2.0,4.0,29.8,127.0,183.0,0.15149630769939865,0.003491046776861007,0.6164146710231371,0.0003024455588189892,17.836734693877553,10.91211995002083,2543.87989739465,373136.9273503934,0.08942299296031087,0.00030648911403167913,28.79591836734694,0.6930445647646722,0.3756494481379977,0.0011752319602876928
54,BO143,20/03/12,67.0,Soay,6730.0,1.0,4.0,22.5,122.0,178.0,0.3393669230960655,0.017408520945887233,0.6121835934304853,0.00016250805008264122,11.25,11.6875,1278.028325872566,176825.3788766892,0.09201004325163735,0.0008264975627596553,36.72222222222222,46.033950617283864,0.3664592947744158,0.0007038973180407816
59,BR581,7/3/2012,23.0,Soay,6859.0,1.0,3.0,23.9,130.0,190.0,0.28311567586471903,0.027240199134751755,0.6251324860500815,0.00018240870516602774,9.285714285714286,8.889795918367353,2122.3558436404874,608881.0889311654,0.11008535299008984,0.0009759206880849985,33.8,49.87428571428567,0.4157037885107657,0.0007906856207886495
60,BR050,1/3/2012,72.0,Soay,6868.0,2.0,3.0,27.9,132.0,189.0,0.2404316104525191,0.005563653341573459,0.5196325215180111,0.0003891578724835149,1.105263157894737,1.6731301939058172,398.5378787878788,16186.84010560148,0.15601805226727397,0.0010340700595689006,29.42105263157895,0.6648199445984286,0.25655999106403327,0.00037786975077206
61,BR071,1/3/2012,6.0,Soay,6886.0,2.0,3.0,30.9,130.0,191.0,0.15191794678797166,0.00330161186045717,0.6020979727457512,0.00021013403390490737,10.06,8.216399999999995,1001.4737343261314,157222.43607591928,0.10561038420243601,0.00032587620509980873,32.16,1.4544000000000232,0.35099219440931084,0.000349027754608926
62,BR087,9/2/2012,133.0,Soay,6898.0,2.0,3.0,28.4,124.0,175.0,0.11342872911519555,0.0009538796126206117,0.6245913243158554,0.00017743951271828788,7.930232558139535,7.367225527312057,1106.4187097140587,149240.61492297988,0.12200204881698389,0.0011026518054752792,30.162790697674417,0.9734991887507508,0.44974959946632287,0.00153397405537199
64,BR101,25/03/12,89.0,Soay,6910.0,1.0,3.0,21.6,122.0,183.0,0.12909857968942995,0.0015517407801472593,0.6065165669911404,9.263388556663976e-05,12.2,5.159999999999991,1603.3853063603062,411854.33040009177,0.10939905893807345,0.00029227356856645624,33.2,1.9600000000000364,0.36309340353342195,9.198011362221425e-05
65,BR121,13/03/12,51.0,Soay,6928.0,1.0,3.0,18.2,120.0,177.0,0.2839794909768045,0.013897345286703262,0.6123415790716855,0.00036150880526424344,2.9,3.4899999999999998,1109.6586206896552,391872.65927610215,0.1097218271259737,0.0005871381686869034,35.86666666666667,4.182222222222238,0.3763388298890138,0.0014000104574285466
66,BR585,17/02/12,78.0,Soay,6935.0,2.0,3.0,27.7,127.0,183.0,0.4358475560462343,0.010093160610917806,0.5751748901209752,0.00016072786686335643,0.7333333333333333,0.7288888888888889,310.83333333333337,2416.611111111095,0.11251653727930783,0.0010912149422183475,42.2,25.49333333333343,0.30665967321602955,0.00031671545952497067
67,BR567,26/03/12,43.0,Soay,6971.0,1.0,3.0,17.3,112.0,170.0,0.22240586123522377,0.005609616689692367,0.635353977453004,5.064527699917399e-05,7.444444444444445,15.080246913580247,929.8639388003974,217817.41439062418,0.10889112304672707,0.00013703519046378502,31.833333333333332,8.305555555555555,0.49124381718772003,0.0005994504923953295
68,BR573,3/4/2012,13.0,Soay,6972.0,1.0,3.0,20.5,125.0,180.0,0.37179719761384233,0.006135316983469795,0.6015924158486363,7.074249729561228e-05,10.666666666666666,2.6666666666666665,1666.8615039281706,406621.2447449685,0.0863657827280169,0.00020624232634560948,35.22222222222222,0.3950617283949719,0.3297923544028025,0.0001370259571832344
