,Sheep,Image,Lacunarity,Entropy,FociCount,FociSize,Scale,Directionality,TissueToSinusoid,Lobular_collapse,Interface_hepatitis,Confluent_necrosis,Ln_ap_ri,Portal_inflammation,BD_hyperplasia,Fibrosis,TawfikTotal,Vessels,Vacuol,Pigment,Mean_hep_size,Std_hep_size,Min_hep_size,Max_hep_size
36,3.0,52.0,0.12071410950734268,0.6024784802881098,14.0,859.5,31.0,0.1743251056645297,0.35790388041762417,0.0,0.0,0,0.0,3.0,0.0,2.0,5.0,congested,no,minimum,25.21,3.01,22.29,30.86
37,3.0,117.0,0.12404033362500493,0.5673747654287148,8.0,639.0,31.0,0.1362008912583407,0.2958588238715017,0.0,0.0,0,0.0,3.0,0.0,2.0,5.0,congested,no,minimum,25.21,3.01,22.29,30.86
38,3.0,3.0,0.1334231014660105,0.5483853345066916,14.0,603.1428571428571,29.0,0.2455207313346013,0.2859556323203973,0.0,0.0,0,0.0,3.0,0.0,2.0,5.0,congested,no,minimum,25.21,3.01,22.29,30.86
39,3.0,19.0,0.13803853875971875,0.5693499615906836,9.0,834.0,31.0,0.2075283041660929,0.30371812681393184,0.0,0.0,0,0.0,3.0,0.0,2.0,5.0,congested,no,minimum,25.21,3.01,22.29,30.86
40,3.0,50.0,0.1194522239939198,0.5812541928186514,10.0,872.3,31.0,0.20936438657416231,0.3255735820975192,0.0,0.0,0,0.0,3.0,0.0,2.0,5.0,congested,no,minimum,25.21,3.01,22.29,30.86
41,3.0,78.0,0.09451159527492492,0.6029630275294213,10.0,502.1,31.0,0.21196819357771604,0.3404607447917025,0.0,0.0,0,0.0,3.0,0.0,2.0,5.0,congested,no,minimum,25.21,3.01,22.29,30.86
42,3.0,77.0,0.10666535065574972,0.5776235301079334,9.0,444.66666666666674,31.0,0.2584113199703932,0.3012266398234981,0.0,0.0,0,0.0,3.0,0.0,2.0,5.0,congested,no,minimum,25.21,3.01,22.29,30.86
43,3.0,100.0,0.12493328478745075,0.5863167083318159,8.0,1182.875,31.0,0.26405490040538443,0.3315842411003184,0.0,0.0,0,0.0,3.0,0.0,2.0,5.0,congested,no,minimum,25.21,3.01,22.29,30.86
44,3.0,1.0,0.1269138436271775,0.5703741545533605,4.0,847.0,29.0,0.18204535175992245,0.3094168406176797,0.0,0.0,0,0.0,3.0,0.0,2.0,5.0,congested,no,minimum,25.21,3.01,22.29,30.86
45,3.0,115.0,0.11011325220359763,0.5520612251347728,10.0,456.8,33.0,0.19736789845199354,0.2730285509804473,0.0,0.0,0,0.0,3.0,0.0,2.0,5.0,congested,no,minimum,25.21,3.01,22.29,30.86
46,3.0,130.0,0.12066586733726806,0.5475486229656726,7.0,543.5714285714286,31.0,0.13855311395999526,0.2763541389864351,0.0,0.0,0,0.0,3.0,0.0,2.0,5.0,congested,no,minimum,25.21,3.01,22.29,30.86
47,3.0,53.0,0.14413863547056482,0.5714504573124963,7.0,599.8571428571429,31.0,0.18655156588975724,0.3131535598804222,0.0,0.0,0,0.0,3.0,0.0,2.0,5.0,congested,no,minimum,25.21,3.01,22.29,30.86
48,3.0,98.0,0.13781138104825694,0.5535694176022798,13.0,532.0,31.0,0.2276536556886055,0.28836520113072817,0.0,0.0,0,0.0,3.0,0.0,2.0,5.0,congested,no,minimum,25.21,3.01,22.29,30.86
49,3.0,142.0,0.16515584088048474,0.5509897745390048,10.0,958.3,31.0,0.12420287785510775,0.3031782064582849,0.0,0.0,0,0.0,3.0,0.0,2.0,5.0,congested,no,minimum,25.21,3.01,22.29,30.86
50,3.0,33.0,0.1148925792032835,0.5807852793905701,8.0,535.875,33.0,0.3053508930258087,0.3150458798354239,0.0,0.0,0,0.0,3.0,0.0,2.0,5.0,congested,no,minimum,25.21,3.01,22.29,30.86
51,3.0,99.0,0.10222666110502417,0.5817741593726631,7.0,557.2857142857143,31.0,0.24524616961285856,0.3106288696792068,0.0,0.0,0,0.0,3.0,0.0,2.0,5.0,congested,no,minimum,25.21,3.01,22.29,30.86
52,3.0,20.0,0.14316755774637044,0.5389481278789849,9.0,485.66666666666674,31.0,0.23141963041163816,0.268409414279961,0.0,0.0,0,0.0,3.0,0.0,2.0,5.0,congested,no,minimum,25.21,3.01,22.29,30.86
53,3.0,140.0,0.12874056728315486,0.5445050225339689,7.0,533.8571428571429,33.0,0.13244863510554405,0.2757358501047797,0.0,0.0,0,0.0,3.0,0.0,2.0,5.0,congested,no,minimum,25.21,3.01,22.29,30.86
54,3.0,131.0,0.1011139243709455,0.5782808155216744,11.0,583.1818181818181,31.0,0.12842781557905195,0.3058171188059787,0.0,0.0,0,0.0,3.0,0.0,2.0,5.0,congested,no,minimum,25.21,3.01,22.29,30.86
55,4.0,112.0,0.13941694215405204,0.5734695407262504,10.0,3093.5,35.0,0.14892696027320498,0.3373320643120216,1.0,0.0,2,0.0,4.0,3.0,3.0,13.0,plebectas,no,none,24.34,1.53,21.43,25.29
56,4.0,34.0,0.1518933882690022,0.6038417863017287,13.0,2454.692307692308,33.0,0.1787627570672151,0.4142502071251036,1.0,0.0,2,0.0,4.0,3.0,3.0,13.0,plebectas,no,none,24.34,1.53,21.43,25.29
