,Sheep,Lobular_collapse,Interface_hepatitis,Confluent_necrosis,Ln_ap_ri,Portal_inflammation,BD_hyperplasia,Fibrosis,TawfikTotal,Vessels,Vacuol,Pigment,Mean_hep_size,Std_hep_size,Min_hep_size,Max_hep_size,Unnamed: 0,Image,Lacunarity,Entropy,FociCount,FociSize,Scale,Directionality,TissueToSinusoid,CurrTag,DeathDate,Category,ID,Sex,AgeAtDeath,Weight,Foreleg,Hindleg
10,3.0,0.0,0.0,0,0.0,3.0,0.0,2.0,5.0,congested,no,minimum,25.21,3.01,22.29,30.86,24.0,151.0,0.1612084486013534,0.5153648490106911,9.0,501.22222222222223,33.0,0.20715540446448644,0.26097343894076297,BO045,8/3/2012,Soay,6623.0,2.0,4.0,,,
11,3.0,0.0,0.0,0,0.0,3.0,0.0,2.0,5.0,congested,no,minimum,25.21,3.01,22.29,30.86,25.0,18.0,0.11413857039668908,0.5427183143226069,9.0,748.2222222222223,31.0,0.2511879902279962,0.2734059845224343,BO045,8/3/2012,Soay,6623.0,2.0,4.0,,,
12,3.0,0.0,0.0,0,0.0,3.0,0.0,2.0,5.0,congested,no,minimum,25.21,3.01,22.29,30.86,26.0,116.0,0.16375889936053775,0.5346058400523257,12.0,549.0833333333334,31.0,0.16724554616211598,0.2765181165669404,BO045,8/3/2012,Soay,6623.0,2.0,4.0,,,
13,3.0,0.0,0.0,0,0.0,3.0,0.0,2.0,5.0,congested,no,minimum,25.21,3.01,22.29,30.86,27.0,141.0,0.13598920676540507,0.5575807353373881,4.0,750.25,31.0,0.08894610096832363,0.3023048554363165,BO045,8/3/2012,Soay,6623.0,2.0,4.0,,,
14,3.0,0.0,0.0,0,0.0,3.0,0.0,2.0,5.0,congested,no,minimum,25.21,3.01,22.29,30.86,28.0,79.0,0.10726207715436777,0.5411920880535003,10.0,544.0,31.0,0.2328000732212082,0.2660596755207534,BO045,8/3/2012,Soay,6623.0,2.0,4.0,,,
15,3.0,0.0,0.0,0,0.0,3.0,0.0,2.0,5.0,congested,no,minimum,25.21,3.01,22.29,30.86,29.0,2.0,0.14329532783560686,0.5592233339515171,8.0,498.625,31.0,0.2017659409235472,0.2947839787537828,BO045,8/3/2012,Soay,6623.0,2.0,4.0,,,
16,3.0,0.0,0.0,0,0.0,3.0,0.0,2.0,5.0,congested,no,minimum,25.21,3.01,22.29,30.86,30.0,65.0,0.1553239425602425,0.5704176758343842,10.0,618.5,31.0,0.22025603349896425,0.3129664436364253,BO045,8/3/2012,Soay,6623.0,2.0,4.0,,,
17,3.0,0.0,0.0,0,0.0,3.0,0.0,2.0,5.0,congested,no,minimum,25.21,3.01,22.29,30.86,31.0,34.0,0.15268696790075922,0.5694215026101318,7.0,706.0,29.0,0.192256392305631,0.3163994473505431,BO045,8/3/2012,Soay,6623.0,2.0,4.0,,,
18,3.0,0.0,0.0,0,0.0,3.0,0.0,2.0,5.0,congested,no,minimum,25.21,3.01,22.29,30.86,32.0,101.0,0.1043424068287483,0.5577899420692498,12.0,380.25,31.0,0.2940887545592457,0.2820730314263594,BO045,8/3/2012,Soay,6623.0,2.0,4.0,,,
19,3.0,0.0,0.0,0,0.0,3.0,0.0,2.0,5.0,congested,no,minimum,25.21,3.01,22.29,30.86,33.0,35.0,0.10703988644211568,0.5697883164555256,8.0,379.25,31.0,0.20422731339764896,0.2953011314082269,BO045,8/3/2012,Soay,6623.0,2.0,4.0,,,
