,Sheep,Image,Lacunarity,Entropy,FociCount,FociSize,Scale,Directionality,TissueToSinusoid,CurrTag,DeathDate,Category,ID,Sex,AgeAtDeath,Weight,Foreleg,Hindleg
0,1,35,0.13163948221078395,0.5532367392623191,2,639.0,29,0.14415927573553544,0.2825965876663657,BW024,5/3/2012,Soay,7124,1,2.0,18.9,122.0,173.0
1,1,10,0.17156695287885956,0.5328420653626399,1,285.0,31,0.1864102512332583,0.2681916922695165,BW024,5/3/2012,Soay,7124,1,2.0,18.9,122.0,173.0
2,1,22,0.14494657877217096,0.5338408044779573,2,483.5,31,0.06278294215358933,0.2653960223745194,BW024,5/3/2012,Soay,7124,1,2.0,18.9,122.0,173.0
3,1,38,0.0869887351525983,0.5475387297407449,1,981.0,31,0.23039729078058102,0.2663609047525683,BW024,5/3/2012,Soay,7124,1,2.0,18.9,122.0,173.0
4,1,37,0.11869381848144965,0.5563869916490087,1,342.0,31,0.22733137163808065,0.28677607348756745,BW024,5/3/2012,Soay,7124,1,2.0,18.9,122.0,173.0
5,1,21,0.19554401160392992,0.5664612908157886,5,455.2,29,0.07636181218030984,0.33580290332070345,BW024,5/3/2012,Soay,7124,1,2.0,18.9,122.0,173.0
6,1,2,0.11657020330156807,0.5620760542879568,4,493.5,31,0.20142813322062866,0.2910462102448594,BW024,5/3/2012,Soay,7124,1,2.0,18.9,122.0,173.0
7,1,24,0.148821585761041,0.5332330690739626,6,460.83333333333326,29,0.12513202107252325,0.2680475738084485,BW024,5/3/2012,Soay,7124,1,2.0,18.9,122.0,173.0
8,1,39,0.13004512739841606,0.5391691860102402,0,,31,0.2359808181750083,0.2699425728755277,BW024,5/3/2012,Soay,7124,1,2.0,18.9,122.0,173.0
9,1,40,0.10446497814624234,0.5619390060214551,1,1050.0,31,0.2275810699821896,0.2866513947481246,BW024,5/3/2012,Soay,7124,1,2.0,18.9,122.0,173.0
10,1,53,0.13580657012164635,0.5196168611967618,1,395.0,31,0.14279483909618754,0.2469381160443116,BW024,5/3/2012,Soay,7124,1,2.0,18.9,122.0,173.0
11,1,64,0.12924521269488848,0.546389579827703,2,365.0,31,0.20817630441389973,0.2776687497550638,BW024,5/3/2012,Soay,7124,1,2.0,18.9,122.0,173.0
12,2,1,0.117892129870603,0.5254068634917642,11,1697.6363636363635,33,0.33243679316827185,0.2519331706706283,AR073,3/3/2012,Soay,5127,1,9.0,17.2,114.0,169.0
13,2,3,0.09518328132452787,0.5535361702093426,11,1082.8181818181818,33,0.2932707675993374,0.27804459005503795,AR073,3/3/2012,Soay,5127,1,9.0,17.2,114.0,169.0
14,3,150,0.18612982579096404,0.5317612178585256,12,670.0833333333334,31,0.17029728303375286,0.2988669038801026,BO045,8/3/2012,Soay,6623,2,4.0,,,
15,3,81,0.09540347302709927,0.5840236300167074,6,894.1666666666665,31,0.21976548917878094,0.3112268316525048,BO045,8/3/2012,Soay,6623,2,4.0,,,
16,3,4,0.1410418396302443,0.5674426595543548,5,665.0,31,0.2660348602931661,0.3058856790690957,BO045,8/3/2012,Soay,6623,2,4.0,,,
17,3,36,0.1459221554398241,0.5242983635371686,6,603.3333333333334,31,0.273154648887049,0.2580548882579894,BO045,8/3/2012,Soay,6623,2,4.0,,,
18,3,63,0.11761145885806665,0.5614702538080618,8,805.25,33,0.2798664758380612,0.28889371229204097,BO045,8/3/2012,Soay,6623,2,4.0,,,
19,3,64,0.15358598164317425,0.536048924348258,7,378.1428571428572,31,0.21275347780848256,0.2711185283828397,BO045,8/3/2012,Soay,6623,2,4.0,,,
20,3,82,0.1213338630851301,0.5840796815121417,10,492.6,31,0.2559563778097305,0.3162406853550971,BO045,8/3/2012,Soay,6623,2,4.0,,,
21,3,102,0.13414562344581227,0.5727775338580162,6,373.5,31,0.2337105085358736,0.3172696742759874,BO045,8/3/2012,Soay,6623,2,4.0,,,
22,3,118,0.1025317903752542,0.5816865934187101,6,458.16666666666674,31,0.17900421226477303,0.3129310052145016,BO045,8/3/2012,Soay,6623,2,4.0,,,
23,3,129,0.13179601112105407,0.5425093762161017,11,634.0909090909091,31,0.24727284483558026,0.2664473139960313,BO045,8/3/2012,Soay,6623,2,4.0,,,
24,3,151,0.1612084486013534,0.5153648490106911,9,501.22222222222223,33,0.20715540446448644,0.26097343894076297,BO045,8/3/2012,Soay,6623,2,4.0,,,
25,3,18,0.11413857039668908,0.5427183143226069,9,748.2222222222223,31,0.2511879902279962,0.2734059845224343,BO045,8/3/2012,Soay,6623,2,4.0,,,
26,3,116,0.16375889936053775,0.5346058400523257,12,549.0833333333334,31,0.16724554616211598,0.2765181165669404,BO045,8/3/2012,Soay,6623,2,4.0,,,
27,3,141,0.13598920676540507,0.5575807353373881,4,750.25,31,0.08894610096832363,0.3023048554363165,BO045,8/3/2012,Soay,6623,2,4.0,,,
28,3,79,0.10726207715436777,0.5411920880535003,10,544.0,31,0.2328000732212082,0.2660596755207534,BO045,8/3/2012,Soay,6623,2,4.0,,,
29,3,2,0.14329532783560686,0.5592233339515171,8,498.625,31,0.2017659409235472,0.2947839787537828,BO045,8/3/2012,Soay,6623,2,4.0,,,
30,3,65,0.1553239425602425,0.5704176758343842,10,618.5,31,0.22025603349896425,0.3129664436364253,BO045,8/3/2012,Soay,6623,2,4.0,,,
31,3,34,0.15268696790075922,0.5694215026101318,7,706.0,29,0.192256392305631,0.3163994473505431,BO045,8/3/2012,Soay,6623,2,4.0,,,
