,CurrTag,DeathDate,Sheep,Category,ID,Sex,AgeAtDeath,Weight,Foreleg,Hindleg,Directionality,DirectionalityVar,Entropy,EntropyVar,FociCount,FociCountVar,FociSize,FociSizeVar,Lacunarity,LacunarityVar,Scale,ScaleVar,TissueToSinusoid,TissueToSinusoidVar
0,AY592,15/02/12,100.0,Soay,4359.0,1.0,11.0,,,,0.3235826290257666,0.0020268695602182313,0.6214225930330458,6.990340918233015e-05,16.183673469387756,9.374427321949192,1177.886809077084,204026.25677211734,0.08090526061344808,0.0002495187675938577,29.693877551020407,1.8858808829653735,0.36677667165559014,0.0001081495940440516
1,AY579,16/03/12,117.0,Soay,4361.0,1.0,11.0,24.0,128.0,185.0,0.2314724784619097,0.003250476994677591,0.6189089983597994,0.0001491332027750571,14.394736842105264,7.028393351800548,2425.925300881609,494671.7710364335,0.1004940432733143,0.000575223322898083,33.526315789473685,3.512465373961229,0.37215672902393265,0.0003794357063058073
2,AO526,19/02/12,115.0,Soay,4628.0,1.0,10.0,,,,0.11333409980628857,0.0019096397333202412,0.6279011161918554,4.750911235088681e-05,4.568627450980392,4.8335255670895805,765.6590476190473,101233.43311219514,0.10572492669792244,0.0002684394366880424,30.529411764705884,2.2883506343714544,0.41838084763588607,0.0002723064684621307
3,AR029,26/03/12,37.0,Soay,5084.0,1.0,9.0,,,,0.5593375945577556,0.027955903855926834,0.6397895556213494,0.0002452809517421439,12.25,7.354166666666667,1418.2795474201723,239228.98754091156,0.08599522592596069,0.000988599647577304,47.666666666666664,55.55555555555566,0.4317204257523217,0.0008579110693850792
4,AR552,8/3/2012,74.0,Soay,5089.0,1.0,9.0,,,,0.20798181533051846,0.0034972925834019144,0.5359117766730483,0.0003730734285653557,0.6923076923076923,0.7514792899408285,661.6666666666666,241223.0138888889,0.137409492132044,0.0018318415218652655,32.53846153846154,1.6331360946745777,0.2732484422551455,0.00039426884706633263
5,AR562,10/2/2012,139.0,Soay,5103.0,1.0,9.0,,,,0.21339257718501964,0.004029764234130347,0.6071981047131232,0.00023991260284422186,21.574468085106382,13.56360344047077,1811.633187286768,332121.7927714922,0.08134363364815467,0.000246585953304504,27.97872340425532,0.9995473064734548,0.35193511204435046,0.0005429064737750962
6,AR569,17/03/12,7.0,Soay,5107.0,1.0,9.0,20.6,118.0,171.0,0.3069079583422711,0.0017184394412225483,0.6081994510073198,4.7368680286465436e-05,9.894736842105264,5.567867036011086,1595.0779638490164,243601.3627706413,0.07584829809673718,0.00012108071713075612,35.421052631578945,0.6648199445984286,0.3388462796973145,0.00016265051957684457
7,AR068,8/3/2012,116.0,Soay,5121.0,1.0,9.0,,,,0.12503348248539464,0.004311876360028908,0.6292219939247746,6.142315281268938e-05,11.340425531914894,9.2883657763694,1021.9109862898193,180461.37876141278,0.0795979493088242,0.00015013509762411487,29.425531914893618,1.0104119511091452,0.3821126480448008,0.00019783969865731392
8,AR073,3/3/2012,2.0,Soay,5127.0,1.0,9.0,17.2,114.0,169.0,0.3128537803838046,0.0003834943897166043,0.5394715168505535,0.00019781447410288644,11.0,0.0,1390.2272727272725,94500.34917355399,0.10653770559756544,0.00012892295057214537,33.0,0.0,0.26498888036283313,0.00017045155556713598
9,AR076,10/4/2012,35.0,Soay,5130.0,1.0,9.0,,,,0.29716782188179625,0.023021977147410368,0.6402883113217549,0.00013302135172512663,9.333333333333334,6.288888888888883,880.9335149110151,98455.95478087626,0.08518793101772008,0.000403414792320414,41.733333333333334,40.66222222222229,0.4366005995474066,0.00030581659108307825
10,AR079,9/3/2012,94.0,Soay,5133.0,1.0,9.0,22.8,127.0,180.0,0.31833034805993715,0.0029974686511957064,0.5687430063868221,8.03963197901971e-05,9.590909090909092,8.332644628099171,902.0702326713689,114294.16915347682,0.10340581896830035,0.0003992184593587964,34.09090909090909,4.26446280991728,0.2957943773774707,0.00010854661612198905
11,AR556,11/4/2012,47.0,Soay,5152.0,1.0,9.0,,,,0.21508436834428785,0.004969430646623997,0.6371156088345483,4.026753740138389e-05,8.821428571428571,9.146683673469381,776.350423584352,73511.88642991627,0.0985717475132538,6.784206719230182e-05,32.642857142857146,0.5867346938775881,0.4522654952994661,0.0004721187945678614
12,AW530,8/3/2012,18.0,Soay,5420.0,2.0,8.0,42.0,136.0,195.0,0.21596424178626156,0.002414857217007031,0.5922829645452313,0.0001479827220701421,11.363636363636363,14.231404958677683,1309.6219068809978,256405.2961592691,0.12165729335237954,0.00038346441389453234,33.18181818181818,1.7851239669421788,0.3352264714264256,0.0003167870055994201
13,AW004,24/02/12,144.0,Soay,5422.0,2.0,8.0,36.4,135.0,196.0,0.15639656730713336,0.00168259603567907,0.6286085338892747,4.595315488087337e-05,17.1875,14.360677083333334,1103.6528285465408,84437.43961669707,0.09812946996931261,0.00017171861867475505,25.75,1.4375,0.41863591862464555,0.0008273600552175889
14,AW534,13/03/12,52.0,Soay,5427.0,1.0,8.0,,,,0.2621073750719041,0.014374564679929303,0.6112031097712923,0.0002332238184329906,9.518518518518519,6.6941015089163285,1500.2019487713928,235735.75234599356,0.08340607515390717,0.0006267055834272541,34.629629629629626,8.307270233196133,0.34745929063319925,0.00047058641042034094
15,AW507,7/3/2012,42.0,Soay,5433.0,1.0,8.0,,,,0.18155083634503785,0.008456405149653897,0.6295856236140164,0.0001051842885639603,7.0588235294117645,10.467128027681664,930.2275313070768,123753.06661821743,0.11792046329746274,0.0003370227275410198,33.94117647058823,4.761245674740434,0.4584554231184691,0.0006116382917332022
