,Sheep,Image,Entropy
198,11,33,0.5863130801947103
199,11,1,0.593664315156647
200,11,19,0.606043845300644
201,11,77,0.5853324241804887
202,11,4,0.5804343775002739
203,11,35,0.5621723391010596
204,11,79,0.6044737561639324
205,11,107,0.5607073653002692
206,11,47,0.5666549381568126
207,11,3,0.5654033964491266
208,12,118,0.5970837072337305
209,12,69,0.6149362739563042
210,12,141,0.6415010336842005
211,12,80,0.6121255262548089
212,12,116,0.623455260089697
213,12,167,0.5980076712125718
214,12,150,0.6108412252842109
215,12,152,0.5887477310235063
216,12,165,0.6042444048352957
217,12,71,0.5944438630165414
218,12,202,0.6360453424001283
219,12,181,0.6371552063384074
220,12,191,0.6091236205009501
221,12,117,0.5993126925398081
222,12,201,0.591447682137785
223,12,83,0.5789480755061901
224,12,178,0.6066404621573382
225,12,67,0.6428977920570536
226,12,82,0.6167947025440564
227,12,193,0.6059407196268118
228,12,164,0.6228341565417419
229,12,166,0.6080549279338864
230,12,179,0.6203335534697282
231,12,95,0.5826385175510064
232,12,104,0.6037220936229242
233,12,151,0.6060262207567866
234,12,192,0.6106154463078988
235,12,70,0.6142537519803931
236,12,180,0.6189310418619554
237,12,68,0.6228881367712984
238,12,81,0.6320372083513308
239,12,103,0.6136128507227133
240,13,250,0.5987621831423581
241,13,257,0.6006199309917506
242,13,249,0.5995489600101824
243,13,224,0.6088713251807841
244,13,217,0.6215698554620505
245,13,240,0.6015433473399296
246,13,256,0.5942991925188427
247,13,233,0.5976668509939523
248,13,232,0.5914500969978764
249,14,113,0.6003819729434141
250,14,95,0.5968751208968266
251,14,53,0.5946499005154878
252,14,96,0.6161536825978299
253,14,141,0.5716231650069821
254,14,112,0.5941159892905759
255,14,157,0.5839010488481977
256,14,32,0.6057009896154544
257,14,51,0.5859622123095403
258,14,31,0.6193675143747699
259,14,144,0.5989938540893985
260,14,19,0.600507595698436
261,14,30,0.5963834706440656
262,14,4,0.5963525814598473
263,14,143,0.5936551620578934
264,14,155,0.5660879286055538
265,14,98,0.596425795348185
266,14,52,0.601736837803643
267,14,129,0.6093675085417748
268,14,100,0.6175354244641151
269,14,125,0.621508673779025
270,14,142,0.5843138924486676
271,14,140,0.5812914160570455
272,14,18,0.5954816157847282
273,14,67,0.6079587480805027
274,14,68,0.5748171185508066
275,14,99,0.6199369301598601
276,14,114,0.6199816354770996
277,14,3,0.5758836342168921
278,14,126,0.5976359359880277
279,14,5,0.6185826642140702
280,14,2,0.5995825405464281
281,14,44,0.5761161477464851
282,14,54,0.5810399015718235
283,14,65,0.6023552457778559
284,14,80,0.6150303287414918
285,14,82,0.6088991681091903
286,14,1,0.5924953104899422
287,14,17,0.6141348198076793
288,14,81,0.5983338221391974
289,14,94,0.5999692881978516
290,14,111,0.6138167517032256
291,14,66,0.5890274549692183
292,14,127,0.6031574344176558
293,14,128,0.6173112582644895
294,14,97,0.6168568729499859
295,14,50,0.5960796735381565
296,15,138,0.5781185395236702
297,15,95,0.6138684334416737
298,15,30,0.6195130412431997
299,15,70,0.6289086411595695
300,15,109,0.6234211319319989
301,15,96,0.6287355067707849
302,15,111,0.5966099067220068
303,15,124,0.6284635669823935
304,15,58,0.6034238311569515
305,15,2,0.5993559680708695
306,15,57,0.6240093422523876
307,15,1,0.6125801261542019
308,15,17,0.6124986426519632
309,15,3,0.6288626336016291
310,15,125,0.6144301268430581
311,15,29,0.6032195008683892
312,15,82,0.6118728835209208
313,15,83,0.6161870575590856
314,15,42,0.6224337639747517
315,15,16,0.622400454967184
316,15,123,0.6144804388818014
317,15,108,0.5928027981889519
318,16,9,0.5964848943188437
319,16,44,0.5749167993927888
320,16,71,0.6095207369159062
321,16,72,0.5827004797271206
322,16,46,0.591329770025428
323,16,22,0.6077924662842117
324,16,111,0.579046418095482
325,16,75,0.5911260564651923
326,16,112,0.5670729229323123
327,16,33,0.5911573168078101
328,16,76,0.5857749917035142
329,16,8,0.6083959435294213
330,16,74,0.6104427846935769
331,16,57,0.5900280337887486
332,16,86,0.6049512381686886
333,16,73,0.604778197955061
334,16,21,0.6132804857533356
335,16,34,0.583470329660023
336,16,103,0.599641101504675
337,17,44,0.6060321940240618
338,17,46,0.5893393751803111
339,17,74,0.5941855819611497
340,17,65,0.5928177797502487
341,17,89,0.5963883551392279
342,17,136,0.596997721219698
343,17,91,0.5898658757108212
344,17,111,0.6012135568898979
345,17,2,0.6161796915604097
346,17,1,0.5953246642946838
347,17,86,0.6062072042776545
348,17,3,0.616199900486597
349,17,123,0.6020689195586416
350,17,100,0.5828411807346486
351,17,135,0.6122209930301374
352,17,122,0.5986877744293075
353,17,88,0.6087151258485798
354,17,124,0.5831124706104396
355,17,45,0.6022755092094616
356,17,75,0.5891340896908062
357,17,109,0.5957706446442352
358,17,87,0.6058861138112444
359,17,43,0.5890829606026893
360,17,90,0.5813109005715906
361,17,30,0.6095387581892371
362,17,121,0.6033347933533784
363,17,27,0.6041713535564917
364,18,69,0.5742165194476144
365,18,12,0.5914063810346748
366,18,68,0.5899394193796073
367,18,96,0.5843489886322297
368,18,97,0.5934891029220415
369,18,1,0.5899613152794603
370,18,95,0.6059106240758382
371,18,45,0.5766655995421259
372,18,46,0.5982761256351752
373,18,58,0.5910770040308805
374,18,24,0.6198215300178963
375,19,110,0.6125708258131011
376,19,111,0.6218194022107633
377,19,100,0.6155773159452347
378,19,3,0.6300074916863893
379,19,1,0.630989936849774
380,19,6,0.6280601132067789
381,19,58,0.6032109705182955
382,19,30,0.6235468393354232
383,19,33,0.6233665086439557
384,19,97,0.6182630070485775
385,19,31,0.6264857747154786
386,19,5,0.6384691771098758
387,19,19,0.6267187510080241
388,19,86,0.6132736180095977
389,19,122,0.6064638811415953
390,19,18,0.637473995346651
391,19,47,0.645219482989714
392,19,4,0.6231308492722756
393,19,44,0.6301124414871304
394,19,48,0.6231935026039253
395,19,59,0.606851199148432
396,19,60,0.626736420248093
397,19,70,0.6095946449144216
398,19,2,0.6473420222099744
399,19,20,0.624588589439034
400,19,71,0.6289910492284451
401,19,84,0.605205917657744
402,19,112,0.6350993298131786
403,19,124,0.6224075351702096
404,19,98,0.6210328913074203
405,19,125,0.6162633768328334
406,19,109,0.608819430869775
407,19,85,0.6095411328026739
408,19,61,0.6245395199594328
409,19,72,0.6475834312596679
410,19,99,0.6334955436271084
411,19,46,0.6327676584957016
412,19,34,0.6385542527445822
413,19,87,0.6171745729979886
414,19,17,0.6332630298221031
415,19,123,0.6320706911823624
416,19,45,0.6284725312238637
417,19,134,0.6075992606741716
418,19,135,0.6223529349052083
419,19,73,0.6224881751444689
420,20,114,0.628092503780955
421,20,102,0.6359547609253197
422,20,40,0.6234100055195821
423,20,65,0.6295289765294887
424,20,103,0.632699157799727
425,20,1,0.6331951864746792
426,20,90,0.6363494332287285
427,20,76,0.6300078882776754
428,20,13,0.6208415797011477
429,20,39,0.6214258156935744
430,20,89,0.6296715861017113
431,20,15,0.6348799006046947
432,20,77,0.6216178166445063
433,20,64,0.6245260312640797
434,21,28,0.6165864221593387
435,21,55,0.6247497865976732
436,21,91,0.6287868313305822
437,21,56,0.6128735531586584
438,21,29,0.6223579438912483
439,21,41,0.6360200991402873
440,21,68,0.6180486499140615
441,21,113,0.6180272047469534
442,21,1,0.634009352069647
443,21,42,0.6225177228656433
444,21,2,0.6358785865585772
445,21,3,0.6347203884976209
446,21,83,0.6177008498256255
447,21,114,0.6192290492420975
448,21,92,0.630616410750741
449,21,93,0.6078506671773316
450,21,106,0.6250520064658678
451,21,27,0.6182718139796686
452,21,40,0.6268900390439904
453,21,54,0.6277742793329403
454,21,15,0.6258161071603523
455,21,16,0.6166625477117358
456,21,112,0.63951478885784
457,21,17,0.5968398509904638
458,22,19,0.6200719277932292
459,22,93,0.6225606479818093
460,22,84,0.6356878173565368
461,22,73,0.6292006706337459
462,22,1,0.6383917911331729
463,22,2,0.6329623578860756
464,22,53,0.6335172286667212
465,22,103,0.6193929020182882
466,22,17,0.6215261723207949
467,22,54,0.6232419081154796
468,22,31,0.618417798589375
469,22,32,0.6451867279163443
470,22,72,0.6106540758478249
471,22,3,0.6302077162717035
472,22,55,0.6195693048346268
473,22,92,0.6274058115959102
474,22,56,0.6125472891645771
475,22,41,0.6116425158537836
476,22,71,0.6302345419217741
477,22,52,0.6450047461213673
478,23,56,0.6322330407212577
479,23,60,0.6403563312473476
480,23,64,0.6351199903785911
481,23,22,0.6194532964565631
482,23,69,0.6113463041445072
483,23,26,0.6172565819313077
484,23,1,0.6362899002151807
485,23,43,0.6423655743654341
486,23,13,0.6321675306515566
487,23,28,0.6182398530827488
488,23,67,0.6262254237491163
489,23,58,0.586555814253265
490,23,59,0.6132390656263543
491,23,73,0.6027870005282205
492,23,12,0.6359928008256939
493,23,41,0.6468620122828235
494,23,57,0.6223179512866761
495,23,66,0.6247462263687733
496,23,42,0.6475377289758049
497,23,44,0.6233668420601644
498,23,70,0.632548320558481
499,23,72,0.6082057178467788
500,23,63,0.6335565253792566
501,23,62,0.6259054057306536
502,23,61,0.6531259408439758
503,23,40,0.6252953002362844
504,23,11,0.6299949539262819
505,23,71,0.6137350944755708
506,23,65,0.6281516165195467
507,23,27,0.6157372410160632
508,23,68,0.6190789047730243
509,23,23,0.6078266786037991
510,23,55,0.6347551736250014
511,23,25,0.620240306516845
512,23,24,0.6170205625499043
513,24,5,0.640452910661895
514,24,6,0.6324122372063223
515,24,3,0.6317998706033773
516,24,1,0.6323755405505695
517,24,10,0.6127141888021921
518,24,4,0.6369232116378343
519,24,2,0.6335185829910471
520,24,9,0.6233892253003582
521,25,12,0.6309927922670565
522,25,2,0.6386456094111955
523,25,7,0.6362393809891487
524,25,8,0.6351472535918286
525,25,3,0.6426674704541724
526,25,5,0.6447991176433373
527,25,6,0.6422057866352853
528,26,42,0.6383188799373629
529,26,23,0.6146036439779792
530,26,2,0.6387255933630989
531,26,1,0.6361747055553957
532,26,39,0.6358231614072444
533,26,16,0.6409636865415913
534,26,5,0.6357872373438496
535,26,19,0.6278085870447485
536,26,8,0.6324463237468435
537,26,25,0.6269181650834148
538,26,47,0.6502471541184325
539,26,9,0.6242986467032317
540,26,44,0.624355418292714
541,26,38,0.6431903472176992
542,26,43,0.6418660298593604
543,26,50,0.6294140211778322
544,26,27,0.6434355347643083
545,26,33,0.6262067681453993
546,26,40,0.6386878995797185
547,26,15,0.648161390008346
548,26,41,0.645541113805765
549,26,22,0.6220640135383999
550,26,45,0.6278093592780779
551,26,3,0.6296865091371487
552,26,7,0.6120622598898812
553,26,34,0.6286834307878275
554,26,37,0.616194135474062
555,26,28,0.6241626397738599
556,26,12,0.6450790197753191
557,26,35,0.6523581536560975
558,26,18,0.6340070455238085
559,26,11,0.6115282516464026
560,26,4,0.6444780635961727
561,26,32,0.6145718492793444
562,26,21,0.611243552877084
563,26,20,0.635207857887496
564,26,6,0.6179283625500374
565,26,29,0.6209962462151613
566,26,36,0.6362794652855897
567,26,48,0.6244306760858999
568,26,49,0.6185504895036693
569,26,52,0.6268318784560916
570,26,13,0.6369109906567523
571,27,98,0.6157755085373353
572,27,58,0.619538465627411
573,27,124,0.6121445015456705
574,27,37,0.6206132335892829
575,27,110,0.6113027744637383
576,27,1,0.6170430587387309
577,27,100,0.6082649149119991
578,27,78,0.6022014376888628
579,27,3,0.625853272490877
580,27,38,0.6313766973061117
581,27,122,0.607601086242914
582,27,87,0.6228539032564788
583,27,2,0.6375077989376452
584,27,57,0.6272111015432154
585,27,88,0.6094152767887355
586,27,36,0.6171649852613231
587,27,18,0.6094117324083057
588,27,86,0.6277865421831283
589,27,49,0.62660909211434
590,27,101,0.6293200561024225
591,27,16,0.6189404441299937
592,27,121,0.6168184418524616
593,27,85,0.6247770983897761
594,27,109,0.6192895719213534
595,27,20,0.6324353424879421
596,27,120,0.6396950927805027
597,27,99,0.6135313156747446
598,27,17,0.6250418914696554
599,27,39,0.6263898607899525
600,27,19,0.6231475784971896
601,27,4,0.6329301476769335
602,27,123,0.6169351694453253
603,27,79,0.6057081024062994
604,28,87,0.6010199195897625
605,28,34,0.5905932728116886
606,28,48,0.6302222087656757
607,28,22,0.5905329800095385
608,28,68,0.5980068403236807
609,28,49,0.5954470422022213
610,28,51,0.6174572950786352
611,28,72,0.6265996816279613
612,28,69,0.6262906807435646
613,28,23,0.5804150925345268
614,28,11,0.5920296624067489
615,28,71,0.5971039198000314
616,28,50,0.6033725767277276
617,28,37,0.6116692544464575
618,28,84,0.6141505519159189
619,28,70,0.6172769803914319
620,28,85,0.597196282426179
621,28,35,0.588708578334807
622,28,1,0.6250320509159215
623,28,10,0.5984519842351327
624,28,2,0.5984341054924731
625,28,36,0.6031897608591856
626,28,86,0.6001015412301154
627,29,141,0.5995303439419403
628,29,204,0.622377288808363
629,29,186,0.6173435890596379
630,29,119,0.6064087376934348
631,29,206,0.6161032523035542
