,Sheep,Image,Lacunarity,Entropy,FociCount,FociSize,Scale,Directionality,TissueToSinusoid
146,7,52,0.096913889,0.619984365,11,1967.090909,37,0.320131898,0.373055102
147,7,98,0.084162817,0.605710431,13,842,37,0.386762542,0.340435213
148,7,1,0.073465345,0.609938047,6,1179.833333,35,0.24998072,0.339688221
149,7,75,0.06181681,0.602762709,11,1261.363636,35,0.240271562,0.324754611
150,8,40,0.109424044,0.615789384,7,1602.142857,31,0.1954858,0.380070326
151,8,1,0.068103824,0.620380129,14,1002.214286,39,0.528242823,0.348764932
152,8,1,0.117695377,0.591245975,18,1060.444444,31,0.208486556,0.336651825
153,8,18,0.118091733,0.611630758,12,1074.416667,31,0.22174144,0.371273757
154,8,11,0.092348297,0.62016949,10,614.8,43,0.632255631,0.38305084
155,8,46,0.064013559,0.634110377,13,899.3846154,39,0.48961914,0.375538981
156,8,39,0.076682605,0.637742459,10,2021.4,29,0.176072065,0.401917411
157,8,19,0.070567954,0.625372195,9,1832.888889,39,0.505319509,0.35839482
158,8,47,0.063970161,0.630830725,10,1259.4,39,0.455647573,0.370217324
159,8,27,0.070161046,0.62022355,11,987.9090909,41,0.575807962,0.347896601
160,8,29,0.056231765,0.60735861,10,664.7,41,0.612142791,0.325024144
161,8,28,0.068116707,0.61284215,9,1431.777778,43,0.644208876,0.332865971
162,9,6,0.082482812,0.643474139,13,950.0769231,39,0.35547275,0.428485883
163,9,12,0.055915353,0.641845091,21,650.5714286,43,0.546619989,0.379837867
164,9,2,0.060263549,0.648017355,14,806,53,0.561132442,0.394213197
165,9,1,0.06604396,0.645749077,16,1052.0625,41,0.398252646,0.408438615
166,9,20,0.067469109,0.647916913,9,605,41,0.395633313,0.415056812
167,10,35,0.099486555,0.604397994,5,560,37,0.273237926,0.337714575
168,10,49,0.060130752,0.632571907,7,1048.857143,39,0.396415021,0.368639474
169,10,59,0.127773083,0.587848532,11,575.6363636,37,0.240991958,0.326112965
170,10,58,0.10576489,0.600848524,10,867.8,39,0.264713279,0.331814107
171,11,64,0.075645375,0.572432841,8,1291.75,33,0.175786283,0.291501302
172,11,144,0.144725708,0.54570473,14,1829,33,0.143007346,0.286665082
173,11,159,0.143150223,0.542850192,8,2843.25,35,0.165251365,0.27993616
174,11,20,0.105802186,0.609377137,9,3574.666667,33,0.191150991,0.355298748
175,11,34,0.106540057,0.563853402,12,1605,33,0.084198404,0.289730476
176,11,62,0.085716985,0.564916471,7,1470.571429,33,0.170909653,0.288683649
177,11,131,0.087956041,0.545146411,11,1413.363636,33,0.062847702,0.257740139
178,11,93,0.113086263,0.582854769,8,1500.875,33,0.064021654,0.31479069
179,11,78,0.098206533,0.553510219,11,1390.727273,33,0.126161255,0.279301444
180,11,63,0.087295206,0.574003316,11,2146,33,0.134190803,0.290229076
181,11,161,0.070128363,0.562954602,9,1718.555556,35,0.078379551,0.272814525
182,11,48,0.063573575,0.575872643,9,1292.111111,33,0.203286102,0.288921231
183,11,92,0.074372964,0.586328807,8,2466.125,35,0.155630456,0.304962358
184,11,49,0.099057432,0.590516512,10,2810.3,33,0.270282926,0.320801715
185,11,121,0.126834929,0.577888154,10,1219.8,33,0.119417698,0.31856566
186,11,32,0.111195991,0.591965485,8,2213.375,33,0.121639433,0.330076506
187,11,143,0.108311969,0.585626336,7,2528.571429,33,0.102948307,0.326334348
188,11,145,0.149562684,0.522510448,10,3522.8,33,0.095540026,0.252432925
189,11,106,0.132583284,0.546658514,5,1772.4,35,0.203887471,0.284203883
190,11,162,0.135978337,0.543132558,11,2896.454545,35,0.174322743,0.265194267
191,11,94,0.113435272,0.613910004,5,970,35,0.259456623,0.373441717
192,11,160,0.142638123,0.542159519,16,1902.75,35,0.144959533,0.278918079
193,11,108,0.10224047,0.591609633,12,1131.833333,33,0.106863736,0.323980459
194,11,18,0.136583151,0.597891996,10,2555.6,33,0.082047569,0.350650463
195,11,2,0.099128418,0.566320812,12,1740.833333,33,0.105315295,0.291649004
196,11,120,0.085671288,0.612923244,12,744.1666667,35,0.12568196,0.3585286
197,11,21,0.093205284,0.587276521,11,2807.909091,33,0.120289434,0.3185573
198,11,33,0.107407971,0.58631308,8,3079.375,33,0.117711063,0.324146025
199,11,1,0.106955862,0.593664315,6,975.5,35,0.165431423,0.329386957
200,11,19,0.102033127,0.606043845,9,2367.555556,33,0.103695237,0.357047402
201,11,77,0.077098031,0.585332424,15,1489.133333,33,0.12348373,0.307002103
202,11,4,0.101479751,0.580434378,7,2328.571429,33,0.100276708,0.309490942
203,11,35,0.103624562,0.562172339,13,2251.923077,33,0.058168676,0.284529582
204,11,79,0.090431435,0.604473756,8,2297.875,35,0.236428295,0.338402223
205,11,107,0.112130377,0.560707365,9,1998.777778,35,0.151521051,0.288988964
206,11,47,0.072276855,0.566654938,14,1796.285714,33,0.111178761,0.2797106
207,11,3,0.122599396,0.565403396,11,1183.545455,33,0.118043565,0.309460088
208,12,118,0.08559649,0.597083707,8,754,31,0.269850192,0.334487549
209,12,69,0.117221834,0.614936274,11,570.9090909,33,0.324466321,0.389156196
210,12,141,0.092392775,0.641501034,15,967.9333333,33,0.253944996,0.465613356
211,12,80,0.110819583,0.612125526,10,1021,33,0.334968792,0.374910233
212,12,116,0.066666866,0.62345526,12,784,33,0.248403177,0.36366945
213,12,167,0.163710921,0.598007671,10,1396.4,25,0.183379491,0.432915626
214,12,150,0.100968585,0.610841225,16,963.3125,35,0.320880902,0.358649168
215,12,152,0.116023929,0.588747731,10,709.8,31,0.307078557,0.34355385
216,12,165,0.129570959,0.604244405,15,1451.866667,33,0.345988859,0.373307621
217,12,71,0.134211034,0.594443863,10,1446,29,0.279389396,0.374506832
218,12,202,0.085806303,0.636045342,12,1909.083333,31,0.162822355,0.418422815
219,12,181,0.075910417,0.637155206,12,1413.75,33,0.230209504,0.407580995
