,Sheep,Image,Scale,Directionality
218,12,202,31,0.16282235505614906
219,12,181,33,0.23020950441530955
220,12,191,35,0.1990521648609974
221,12,117,33,0.2877012881693359
222,12,201,27,0.22415592544589466
223,12,83,31,0.3209563213721828
224,12,178,33,0.2130024169392344
225,12,67,47,0.5142570026037188
226,12,82,33,0.28592916151987685
227,12,193,29,0.20901599428984421
228,12,164,33,0.21858204783819304
229,12,166,33,0.2682858266762942
230,12,179,35,0.22147151214906222
231,12,95,33,0.18864347909117254
232,12,104,33,0.18907934543010838
233,12,151,35,0.259067986815302
234,12,192,35,0.18964450319722745
235,12,70,33,0.24014737401969866
236,12,180,35,0.2634608434391839
237,12,68,33,0.2826686176974281
238,12,81,47,0.5803746955694448
239,12,103,29,0.1116077319954917
240,13,250,37,0.452152230146078
241,13,257,35,0.3888921550018344
242,13,249,35,0.2695368014539354
243,13,224,35,0.28231532076785226
244,13,217,35,0.2841153308505226
245,13,240,35,0.47369687952185235
246,13,256,35,0.41686758982223293
247,13,233,35,0.4574492585116561
248,13,232,35,0.3211492124486176
249,14,113,33,0.22011076701718912
250,14,95,35,0.07997133995658588
251,14,53,35,0.24463170531143616
252,14,96,33,0.05917989713444633
253,14,141,35,0.10307396861240271
254,14,112,35,0.41440923141870956
255,14,157,35,0.1734120854438805
256,14,32,35,0.14453921540135697
257,14,51,35,0.17783726793674104
258,14,31,33,0.14504548559751673
259,14,144,33,0.0771477895805606
260,14,19,33,0.2212826081859475
261,14,30,35,0.38005829878633873
262,14,4,33,0.22234931480167197
263,14,143,33,0.13369512761770616
264,14,155,35,0.17838358380967753
265,14,98,35,0.14087282995317676
266,14,52,35,0.22878266072860012
267,14,129,35,0.24728207940779567
268,14,100,35,0.061936206207058586
269,14,125,35,0.18223570050573562
270,14,142,33,0.08721052397698163
271,14,140,35,0.0918285852969309
272,14,18,35,0.41822731954325926
273,14,67,33,0.28639892127248395
274,14,68,33,0.24498543434145956
275,14,99,33,0.04678172281716019
276,14,114,33,0.08257317911721582
277,14,3,35,0.4497051568627471
278,14,126,33,0.0806622638202772
279,14,5,33,0.18431006105010808
280,14,2,35,0.21982864557663942
281,14,44,33,0.3726592109044079
282,14,54,35,0.16289633443508167
283,14,65,33,0.2617003683672266
284,14,80,33,0.12472485478052783
285,14,82,29,0.19848319921479093
286,14,1,35,0.38584755182483016
287,14,17,35,0.31109790977983226
