,Sheep,Image,Count,meanSize,stdSize
165,9,1,16,1052.0625,622.3767416876614
166,9,20,9,605.0,254.9060829229289
167,10,35,5,560.0,279.06988372090603
168,10,49,7,1048.857142857143,635.510015335586
169,10,59,11,575.6363636363636,282.89550680170765
170,10,58,10,867.8,409.76671411914367
171,11,64,8,1291.75,701.20588096507
172,11,144,14,1829.0,1272.8022515020043
173,11,159,8,2843.25,1428.354625959534
174,11,20,9,3574.6666666666665,3000.2807646396473
175,11,34,12,1605.0,790.0628666969062
176,11,62,7,1470.5714285714287,1202.8350863264504
177,11,131,11,1413.3636363636363,873.227896186148
178,11,93,8,1500.875,1508.3420896384878
179,11,78,11,1390.7272727272727,1147.3904060090674
180,11,63,11,2146.0,933.6518720496512
181,11,161,9,1718.5555555555557,1169.4644653868152
182,11,48,9,1292.111111111111,605.001275378719
183,11,92,8,2466.125,1358.272564463775
184,11,49,10,2810.3,4181.802626858423
185,11,121,10,1219.8,850.9288806945032
186,11,32,8,2213.375,1799.3423755291822
187,11,143,7,2528.5714285714284,1647.078440073545
188,11,145,10,3522.8,3045.5985552925385
189,11,106,5,1772.4,1421.2778194286998
190,11,162,11,2896.4545454545455,1854.1233833435026
191,11,94,5,970.0,858.4525612985263
192,11,160,16,1902.75,1149.6417104907075
193,11,108,12,1131.8333333333333,518.1405590077743
194,11,18,10,2555.6,2047.370518494393
195,11,2,12,1740.8333333333333,1649.6189374788619
196,11,120,12,744.1666666666666,510.72984269790055
197,11,21,11,2807.909090909091,1586.742429378531
198,11,33,8,3079.375,2908.926904268136
199,11,1,6,975.5,593.9906705215719
200,11,19,9,2367.5555555555557,2378.3338290637703
201,11,77,15,1489.1333333333334,831.2982510640944
202,11,4,7,2328.5714285714284,1415.794260390648
203,11,35,13,2251.923076923077,1449.5794329888854
204,11,79,8,2297.875,2594.1835631610575
205,11,107,9,1998.7777777777778,2086.9037020735755
206,11,47,14,1796.2857142857142,1148.9469357740113
207,11,3,11,1183.5454545454545,861.5980251978258
208,12,118,8,754.0,403.9597752252073
209,12,69,11,570.9090909090909,319.6630198834262
210,12,141,15,967.9333333333333,958.3026290733469
211,12,80,10,1021.0,1107.3966768958628
212,12,116,12,784.0,534.1215529571273
213,12,167,10,1396.4,1389.1395322284943
214,12,150,16,963.3125,705.315507304178
215,12,152,10,709.8,404.1098365543704
216,12,165,15,1451.8666666666666,1864.474934726188
217,12,71,10,1446.0,1041.6249804992199
218,12,202,12,1909.0833333333333,2624.0885229711457
219,12,181,12,1413.75,1090.1998383324042
220,12,191,8,774.25,604.1719022761652
221,12,117,11,1812.0,2634.6465003522167
222,12,201,16,1240.3125,1047.1973141885678
223,12,83,9,1518.3333333333333,1036.994589078351
224,12,178,12,613.6666666666666,398.772770161432
225,12,67,9,2906.8888888888887,4180.578121755263
226,12,82,15,1128.4666666666667,862.1797853245124
227,12,193,13,817.4615384615385,538.218230744115
228,12,164,10,944.3,786.6984237940228
229,12,166,16,830.5,454.9151019695873
230,12,179,12,1031.9166666666667,965.6347185774868
231,12,95,9,1830.888888888889,2154.17354322278
232,12,104,19,1239.7894736842106,1028.4174648431733
233,12,151,11,896.0,546.0531109699862
234,12,192,11,1545.090909090909,795.716995664968
235,12,70,8,3093.625,3451.393448214069
236,12,180,9,1826.111111111111,1488.6178111437202
237,12,68,13,811.0,818.5301084636645
238,12,81,12,1932.25,3855.640351593148
239,12,103,9,1907.7777777777778,1740.0512621936543
240,13,250,9,2286.1111111111113,2305.8791740748475
