,Sheep,Image,Lacunarity
108,6,132,0.12878001906181716
109,6,3,0.10874821106833965
110,6,60,0.10071723101685728
111,6,4,0.11528730951687183
112,6,18,0.09872924456350084
113,6,77,0.132021590591838
114,6,5,0.10288677907412777
115,6,34,0.10269747797073243
116,6,131,0.10617185308441875
117,6,49,0.11315121660742232
118,6,17,0.08967722672872987
119,6,115,0.12319930633260216
120,6,22,0.09410820674479063
121,6,144,0.10378437131375529
122,6,21,0.096093234030171
123,6,56,0.0930077506440258
124,6,89,0.07813299770577455
125,6,76,0.08866769902854578
126,6,101,0.099332149706097
127,6,103,0.10825042284414044
128,6,33,0.08448100473994556
129,6,73,0.08997677949888284
130,6,118,0.10103037944689508
131,7,97,0.07435758118661712
132,7,74,0.06965150884575431
133,7,50,0.06984658040364622
134,7,2,0.06718078224501389
135,7,39,0.06792036404231953
136,7,49,0.06863796097134583
137,7,65,0.07925139979668099
138,7,15,0.09902776187423128
139,7,51,0.09531984844179321
140,7,99,0.0789490564027551
141,7,31,0.06907906656829023
142,7,14,0.08350208552808494
143,7,64,0.07358673400958127
144,7,96,0.06348817565161972
145,7,87,0.06495989714059247
146,7,52,0.09691388931161839
147,7,98,0.0841628170476681
148,7,1,0.07346534484826507
149,7,75,0.06181680952212895
150,8,40,0.1094240436124003
151,8,1,0.06810382421292903
152,8,1,0.1176953770507788
153,8,18,0.11809173302290897
154,8,11,0.0923482966787265
155,8,46,0.06401355926037991
156,8,39,0.07668260517808308
157,8,19,0.07056795395544115
158,8,47,0.06397016121566747
159,8,27,0.07016104626104565
160,8,29,0.05623176466552861
161,8,28,0.06811670703979615
162,9,6,0.08248281241939669
163,9,12,0.055915352697853436
164,9,2,0.06026354887599414
165,9,1,0.06604395960535066
166,9,20,0.06746910881963747
167,10,35,0.09948655522588966
168,10,49,0.060130751958749715
169,10,59,0.1277730825469861
170,10,58,0.10576489025109226
171,11,64,0.0756453746702322
172,11,144,0.1447257080930645
173,11,159,0.14315022314182266
174,11,20,0.10580218605265063
175,11,34,0.1065400574603463
176,11,62,0.08571698529702035
177,11,131,0.08795604083724207
178,11,93,0.11308626337876637
179,11,78,0.09820653298873085
180,11,63,0.08729520640787469
181,11,161,0.0701283625099596
182,11,48,0.06357357543031579
183,11,92,0.07437296420254212
184,11,49,0.09905743173313765
185,11,121,0.12683492886956033
186,11,32,0.11119599059756632
187,11,143,0.10831196866148199
188,11,145,0.14956268438910975
189,11,106,0.13258328394397612
190,11,162,0.13597833693421163
191,11,94,0.11343527204429192
192,11,160,0.14263812342410576
193,11,108,0.1022404698346066
194,11,18,0.13658315054144063
195,11,2,0.0991284178137771
196,11,120,0.0856712881755497
197,11,21,0.09320528364690318
198,11,33,0.10740797136713655
199,11,1,0.10695586220387461
200,11,19,0.10203312666881588
201,11,77,0.07709803147349599
202,11,4,0.10147975141891998
203,11,35,0.10362456235102989
204,11,79,0.09043143508726002
205,11,107,0.11213037666857363
206,11,47,0.07227685524899037
207,11,3,0.12259939551122329
208,12,118,0.08559648954039914
209,12,69,0.11722183427968365
210,12,141,0.09239277528960264
211,12,80,0.11081958333150273
212,12,116,0.06666686587457823
213,12,167,0.16371092142584084
214,12,150,0.10096858452979673
215,12,152,0.11602392896455538
216,12,165,0.12957095925914797
217,12,71,0.1342110339005923
218,12,202,0.08580630329010425
219,12,181,0.07591041748214651
220,12,191,0.09646796339986669
221,12,117,0.0907945809891785
222,12,201,0.12390407841895149
223,12,83,0.11349366340706221
224,12,178,0.09258124158023018
225,12,67,0.06273021411649927
226,12,82,0.08445340138746453
227,12,193,0.11785998500737396
228,12,164,0.1176911922630906
229,12,166,0.08283599810977332
230,12,179,0.061095562869419286
231,12,95,0.12807667238912046
232,12,104,0.1211034740479794
233,12,151,0.08104860458241751
234,12,192,0.08974761158919152
235,12,70,0.1053218129151733
236,12,180,0.07112598680286161
237,12,68,0.10642203910822594
238,12,81,0.055188221987024
239,12,103,0.1508237422041321
240,13,250,0.08848380219165743
241,13,257,0.06398531644416057
242,13,249,0.0856190413825536
243,13,224,0.11233616679193233
244,13,217,0.07098219573733586
245,13,240,0.08831956204128442
246,13,256,0.10456435395685426
247,13,233,0.07617186614893998
248,13,232,0.0868297398574336
249,14,113,0.09954944160541426
250,14,95,0.09437810777785702
251,14,53,0.05740563403342675
252,14,96,0.12559330683664743
253,14,141,0.10575360684544419
254,14,112,0.07680488055550262
255,14,157,0.1509731764071458
256,14,32,0.08930253097074736
257,14,51,0.10361838370575256
258,14,31,0.0759143150670759
259,14,144,0.11638643587839619
260,14,19,0.09233608098748651
261,14,30,0.07806105457109677
262,14,4,0.10735831332254556
263,14,143,0.12931614353806506
264,14,155,0.1868968472717269
265,14,98,0.08908870583186468
266,14,52,0.101060878005069
267,14,129,0.06987674559347459
268,14,100,0.08816284975547468
269,14,125,0.09176368417891943
270,14,142,0.07945614919478262
271,14,140,0.09445413894703227
272,14,18,0.07532913434656573
273,14,67,0.09738311620549162
