,Sheep,Image,Lacunarity,Entropy,FociCount,FociSize,Scale,Directionality,TissueToSinusoid,Lobular_collapse,Interface_hepatitis,Confluent_necrosis,Ln_ap_ri,Portal_inflammation,BD_hyperplasia,Fibrosis,TawfikTotal,Mean_hep_size,Min_hep_size,Max_hep_size,ID,Sex,AgeAtDeath,Weight,Foreleg,Hindleg,BirthYear,E,CES,RES
18,3.0,63.0,0.11761145885806665,0.5614702538080618,8.0,805.25,33.0,0.2798664758380612,0.28889371229204097,0.0,0.0,0.0,0.0,3.0,0.0,2.0,5.0,25.21,22.29,30.86,6623.0,2.0,4.0,,,,2007.0,0.5,3.219869,-0.2686858833333333
19,3.0,64.0,0.15358598164317425,0.536048924348258,7.0,378.1428571428572,31.0,0.21275347780848256,0.2711185283828397,0.0,0.0,0.0,0.0,3.0,0.0,2.0,5.0,25.21,22.29,30.86,6623.0,2.0,4.0,,,,2007.0,0.5,3.219869,-0.2686858833333333
20,3.0,82.0,0.1213338630851301,0.5840796815121417,10.0,492.6,31.0,0.2559563778097305,0.3162406853550971,0.0,0.0,0.0,0.0,3.0,0.0,2.0,5.0,25.21,22.29,30.86,6623.0,2.0,4.0,,,,2007.0,0.5,3.219869,-0.2686858833333333
21,3.0,102.0,0.13414562344581227,0.5727775338580162,6.0,373.5,31.0,0.2337105085358736,0.3172696742759874,0.0,0.0,0.0,0.0,3.0,0.0,2.0,5.0,25.21,22.29,30.86,6623.0,2.0,4.0,,,,2007.0,0.5,3.219869,-0.2686858833333333
22,3.0,118.0,0.1025317903752542,0.5816865934187101,6.0,458.16666666666674,31.0,0.17900421226477303,0.3129310052145016,0.0,0.0,0.0,0.0,3.0,0.0,2.0,5.0,25.21,22.29,30.86,6623.0,2.0,4.0,,,,2007.0,0.5,3.219869,-0.2686858833333333
23,3.0,129.0,0.13179601112105407,0.5425093762161017,11.0,634.0909090909091,31.0,0.24727284483558026,0.2664473139960313,0.0,0.0,0.0,0.0,3.0,0.0,2.0,5.0,25.21,22.29,30.86,6623.0,2.0,4.0,,,,2007.0,0.5,3.219869,-0.2686858833333333
24,3.0,151.0,0.1612084486013534,0.5153648490106911,9.0,501.22222222222223,33.0,0.20715540446448644,0.26097343894076297,0.0,0.0,0.0,0.0,3.0,0.0,2.0,5.0,25.21,22.29,30.86,6623.0,2.0,4.0,,,,2007.0,0.5,3.219869,-0.2686858833333333
25,3.0,18.0,0.11413857039668908,0.5427183143226069,9.0,748.2222222222223,31.0,0.2511879902279962,0.2734059845224343,0.0,0.0,0.0,0.0,3.0,0.0,2.0,5.0,25.21,22.29,30.86,6623.0,2.0,4.0,,,,2007.0,0.5,3.219869,-0.2686858833333333
26,3.0,116.0,0.16375889936053775,0.5346058400523257,12.0,549.0833333333334,31.0,0.16724554616211598,0.2765181165669404,0.0,0.0,0.0,0.0,3.0,0.0,2.0,5.0,25.21,22.29,30.86,6623.0,2.0,4.0,,,,2007.0,0.5,3.219869,-0.2686858833333333
27,3.0,141.0,0.13598920676540507,0.5575807353373881,4.0,750.25,31.0,0.08894610096832363,0.3023048554363165,0.0,0.0,0.0,0.0,3.0,0.0,2.0,5.0,25.21,22.29,30.86,6623.0,2.0,4.0,,,,2007.0,0.5,3.219869,-0.2686858833333333
28,3.0,79.0,0.10726207715436777,0.5411920880535003,10.0,544.0,31.0,0.2328000732212082,0.2660596755207534,0.0,0.0,0.0,0.0,3.0,0.0,2.0,5.0,25.21,22.29,30.86,6623.0,2.0,4.0,,,,2007.0,0.5,3.219869,-0.2686858833333333
29,3.0,2.0,0.14329532783560686,0.5592233339515171,8.0,498.625,31.0,0.2017659409235472,0.2947839787537828,0.0,0.0,0.0,0.0,3.0,0.0,2.0,5.0,25.21,22.29,30.86,6623.0,2.0,4.0,,,,2007.0,0.5,3.219869,-0.2686858833333333
30,3.0,65.0,0.1553239425602425,0.5704176758343842,10.0,618.5,31.0,0.22025603349896425,0.3129664436364253,0.0,0.0,0.0,0.0,3.0,0.0,2.0,5.0,25.21,22.29,30.86,6623.0,2.0,4.0,,,,2007.0,0.5,3.219869,-0.2686858833333333
31,3.0,34.0,0.15268696790075922,0.5694215026101318,7.0,706.0,29.0,0.192256392305631,0.3163994473505431,0.0,0.0,0.0,0.0,3.0,0.0,2.0,5.0,25.21,22.29,30.86,6623.0,2.0,4.0,,,,2007.0,0.5,3.219869,-0.2686858833333333
32,3.0,101.0,0.1043424068287483,0.5577899420692498,12.0,380.25,31.0,0.2940887545592457,0.2820730314263594,0.0,0.0,0.0,0.0,3.0,0.0,2.0,5.0,25.21,22.29,30.86,6623.0,2.0,4.0,,,,2007.0,0.5,3.219869,-0.2686858833333333
33,3.0,35.0,0.10703988644211568,0.5697883164555256,8.0,379.25,31.0,0.20422731339764896,0.2953011314082269,0.0,0.0,0.0,0.0,3.0,0.0,2.0,5.0,25.21,22.29,30.86,6623.0,2.0,4.0,,,,2007.0,0.5,3.219869,-0.2686858833333333
34,3.0,80.0,0.11771342945669967,0.5308527286533672,3.0,1236.6666666666667,31.0,0.27206702359256035,0.25789891987031416,0.0,0.0,0.0,0.0,3.0,0.0,2.0,5.0,25.21,22.29,30.86,6623.0,2.0,4.0,,,,2007.0,0.5,3.219869,-0.2686858833333333
35,3.0,51.0,0.1497788296306871,0.5534674770386371,9.0,705.4444444444445,31.0,0.19676600842664627,0.2885995549385445,0.0,0.0,0.0,0.0,3.0,0.0,2.0,5.0,25.21,22.29,30.86,6623.0,2.0,4.0,,,,2007.0,0.5,3.219869,-0.2686858833333333
36,3.0,52.0,0.12071410950734268,0.6024784802881098,14.0,859.5,31.0,0.1743251056645297,0.35790388041762417,0.0,0.0,0.0,0.0,3.0,0.0,2.0,5.0,25.21,22.29,30.86,6623.0,2.0,4.0,,,,2007.0,0.5,3.219869,-0.2686858833333333
37,3.0,117.0,0.12404033362500493,0.5673747654287148,8.0,639.0,31.0,0.1362008912583407,0.2958588238715017,0.0,0.0,0.0,0.0,3.0,0.0,2.0,5.0,25.21,22.29,30.86,6623.0,2.0,4.0,,,,2007.0,0.5,3.219869,-0.2686858833333333
38,3.0,3.0,0.1334231014660105,0.5483853345066916,14.0,603.1428571428571,29.0,0.2455207313346013,0.2859556323203973,0.0,0.0,0.0,0.0,3.0,0.0,2.0,5.0,25.21,22.29,30.86,6623.0,2.0,4.0,,,,2007.0,0.5,3.219869,-0.2686858833333333
39,3.0,19.0,0.13803853875971875,0.5693499615906836,9.0,834.0,31.0,0.2075283041660929,0.30371812681393184,0.0,0.0,0.0,0.0,3.0,0.0,2.0,5.0,25.21,22.29,30.86,6623.0,2.0,4.0,,,,2007.0,0.5,3.219869,-0.2686858833333333
40,3.0,50.0,0.1194522239939198,0.5812541928186514,10.0,872.3,31.0,0.20936438657416231,0.3255735820975192,0.0,0.0,0.0,0.0,3.0,0.0,2.0,5.0,25.21,22.29,30.86,6623.0,2.0,4.0,,,,2007.0,0.5,3.219869,-0.2686858833333333
41,3.0,78.0,0.09451159527492492,0.6029630275294213,10.0,502.1,31.0,0.21196819357771604,0.3404607447917025,0.0,0.0,0.0,0.0,3.0,0.0,2.0,5.0,25.21,22.29,30.86,6623.0,2.0,4.0,,,,2007.0,0.5,3.219869,-0.2686858833333333
42,3.0,77.0,0.10666535065574972,0.5776235301079334,9.0,444.66666666666674,31.0,0.2584113199703932,0.3012266398234981,0.0,0.0,0.0,0.0,3.0,0.0,2.0,5.0,25.21,22.29,30.86,6623.0,2.0,4.0,,,,2007.0,0.5,3.219869,-0.2686858833333333
43,3.0,100.0,0.12493328478745075,0.5863167083318159,8.0,1182.875,31.0,0.26405490040538443,0.3315842411003184,0.0,0.0,0.0,0.0,3.0,0.0,2.0,5.0,25.21,22.29,30.86,6623.0,2.0,4.0,,,,2007.0,0.5,3.219869,-0.2686858833333333
44,3.0,1.0,0.1269138436271775,0.5703741545533605,4.0,847.0,29.0,0.18204535175992245,0.3094168406176797,0.0,0.0,0.0,0.0,3.0,0.0,2.0,5.0,25.21,22.29,30.86,6623.0,2.0,4.0,,,,2007.0,0.5,3.219869,-0.2686858833333333
