Year,VillageBay
1985,509
1986,211
1987,331
1988,457
1989,211
1990,290
1991,414
1992,321
1993,443
1994,435
1995,357
1996,575
1997,542
1998,591
1999,325
2000,461
2001,651
2002,335
2003,494
2004,671
2005,405
2006,467
2007,447
2008,567
2009,617
2010,672
2011,649
2012,362
2013,545
